"","id","class","path"
"52","map04728","Organismal Systems; Nervous system","Dopaminergic synapse"
"53","ko04722","Organismal Systems; Nervous system","Neurotrophin signaling pathway"
"54","map04722","Organismal Systems; Nervous system","Neurotrophin signaling pathway"
"55","ko04720","Organismal Systems; Nervous system","Long-term potentiation"
"56","map04720","Organismal Systems; Nervous system","Long-term potentiation"
"57","ko04713","Organismal Systems; Environmental adaptation","Circadian entrainment"
"58","map04713","Organismal Systems; Environmental adaptation","Circadian entrainment"
"59","ko04626","Organismal Systems; Environmental adaptation","Plant-pathogen interaction"
"60","map04626","Organismal Systems; Environmental adaptation","Plant-pathogen interaction"
"61","ko04625","Organismal Systems; Immune system","C-type lectin receptor signaling pathway"
"62","map04625","Organismal Systems; Immune system","C-type lectin receptor signaling pathway"
"63","ko04371","Environmental Information Processing; Signal transduction","Apelin signaling pathway"
"64","map04371","Environmental Information Processing; Signal transduction","Apelin signaling pathway"
"65","ko04270","Organismal Systems; Circulatory system","Vascular smooth muscle contraction"
"66","map04270","Organismal Systems; Circulatory system","Vascular smooth muscle contraction"
"67","ko04261","Organismal Systems; Circulatory system","Adrenergic signaling in cardiomyocytes"
"68","map04261","Organismal Systems; Circulatory system","Adrenergic signaling in cardiomyocytes"
"69","ko04218","Cellular Processes; Cell growth and death","Cellular senescence"
"70","map04218","Cellular Processes; Cell growth and death","Cellular senescence"
"71","ko04114","Cellular Processes; Cell growth and death","Oocyte meiosis"
"72","map04114","Cellular Processes; Cell growth and death","Oocyte meiosis"
"73","ko04070","Environmental Information Processing; Signal transduction","Phosphatidylinositol signaling system"
"74","map04070","Environmental Information Processing; Signal transduction","Phosphatidylinositol signaling system"
"75","ko04024","Environmental Information Processing; Signal transduction","cAMP signaling pathway"
"76","map04024","Environmental Information Processing; Signal transduction","cAMP signaling pathway"
"77","ko04022","Environmental Information Processing; Signal transduction","cGMP-PKG signaling pathway"
"78","map04022","Environmental Information Processing; Signal transduction","cGMP-PKG signaling pathway"
"79","ko04020","Environmental Information Processing; Signal transduction","Calcium signaling pathway"
"80","map04020","Environmental Information Processing; Signal transduction","Calcium signaling pathway"
"81","ko04016","Environmental Information Processing; Signal transduction","MAPK signaling pathway - plant"
"82","map04016","Environmental Information Processing; Signal transduction","MAPK signaling pathway - plant"
"83","ko04015","Environmental Information Processing; Signal transduction","Rap1 signaling pathway"
"84","map04015","Environmental Information Processing; Signal transduction","Rap1 signaling pathway"
"85","ko04014","Environmental Information Processing; Signal transduction","Ras signaling pathway"
"86","map04014","Environmental Information Processing; Signal transduction","Ras signaling pathway"
"87","ko04621","Organismal Systems; Immune system","NOD-like receptor signaling pathway"
"88","map04621","Organismal Systems; Immune system","NOD-like receptor signaling pathway"
"89","ko04622","Organismal Systems; Immune system","RIG-I-like receptor signaling pathway"
"90","map04622","Organismal Systems; Immune system","RIG-I-like receptor signaling pathway"
"91","ko00310","Metabolism; Amino acid metabolism","Lysine degradation"
"92","map00310","Metabolism; Amino acid metabolism","Lysine degradation"
"93","ko00260","Metabolism; Amino acid metabolism","Glycine, serine and threonine metabolism"
"94","map00260","Metabolism; Amino acid metabolism","Glycine, serine and threonine metabolism"
"95","ko00340","Metabolism; Amino acid metabolism","Histidine metabolism"
"96","map00340","Metabolism; Amino acid metabolism","Histidine metabolism"
"97","ko04621","Organismal Systems; Immune system","NOD-like receptor signaling pathway"
"98","map04621","Organismal Systems; Immune system","NOD-like receptor signaling pathway"
"99","ko05205","Human Diseases; Cancers: Overview","Proteoglycans in cancer"
"100","map05205","Human Diseases; Cancers: Overview","Proteoglycans in cancer"
"101","ko05132","Human Diseases; Infectious diseases: Bacterial","Salmonella infection"
"102","map05132","Human Diseases; Infectious diseases: Bacterial","Salmonella infection"
"103","ko04510","Cellular Processes; Cellular community - eukaryotes","Focal adhesion"
"104","map04510","Cellular Processes; Cellular community - eukaryotes","Focal adhesion"
"105","ko04010","Environmental Information Processing; Signal transduction","MAPK signaling pathway"
"106","map04010","Environmental Information Processing; Signal transduction","MAPK signaling pathway"
"107","ko00340","Metabolism; Amino acid metabolism","Histidine metabolism"
"108","map00340","Metabolism; Amino acid metabolism","Histidine metabolism"
"109","ko00250","Metabolism; Amino acid metabolism","Alanine, aspartate and glutamate metabolism"
"110","map00250","Metabolism; Amino acid metabolism","Alanine, aspartate and glutamate metabolism"
"111","ko05202","Human Diseases; Cancers: Overview","Transcriptional misregulation in cancer"
"112","map05202","Human Diseases; Cancers: Overview","Transcriptional misregulation in cancer"
