"Transcript","Gene"
"KXJ30221.1","KXJ30221.1"
"KXJ30126.1","KXJ30126.1"
"KXJ30098.1","KXJ30098.1"
"KXJ30216.1","KXJ30216.1"
"KXJ30086.1","KXJ30086.1"
"KXJ30232.1","KXJ30232.1"
"KXJ29866.1","KXJ29866.1"
"KXJ30036.1","KXJ30036.1"
"KXJ29948.1","KXJ29948.1"
"KXJ29939.1","KXJ29939.1"
"KXJ30015.1","KXJ30015.1"
"KXJ29909.1","KXJ29909.1"
"KXJ29913.1","KXJ29913.1"
"KXJ29856.1","KXJ29856.1"
"KXJ30053.1","KXJ30053.1"
"KXJ29849.1","KXJ29849.1"
"KXJ30046.1","KXJ30046.1"
"KXJ30035.1","KXJ30035.1"
"KXJ29906.1","KXJ29906.1"
"KXJ29871.1","KXJ29871.1"
"KXJ30010.1","KXJ30010.1"
"KXJ29992.1","KXJ29992.1"
"KXJ30056.1","KXJ30056.1"
"KXJ29981.1","KXJ29981.1"
"KXJ29923.1","KXJ29923.1"
"KXJ29927.1","KXJ29927.1"
"KXJ29979.1","KXJ29979.1"
"KXJ30022.1","KXJ30022.1"
"KXJ30006.1","KXJ30006.1"
"KXJ30060.1","KXJ30060.1"
"KXJ29986.1","KXJ29986.1"
"KXJ29879.1","KXJ29879.1"
"KXJ29944.1","KXJ29944.1"
"KXJ29932.1","KXJ29932.1"
"KXJ29905.1","KXJ29905.1"
"KXJ30005.1","KXJ30005.1"
"KXJ29921.1","KXJ29921.1"
"KXJ29896.1","KXJ29896.1"
"KXJ29997.1","KXJ29997.1"
"KXJ29888.1","KXJ29888.1"
"KXJ29925.1","KXJ29925.1"
"KXJ30040.1","KXJ30040.1"
"KXJ29850.1","KXJ29850.1"
"KXJ29901.1","KXJ29901.1"
"KXJ29951.1","KXJ29951.1"
"KXJ29858.1","KXJ29858.1"
"KXJ30045.1","KXJ30045.1"
"KXJ29884.1","KXJ29884.1"
"KXJ30023.1","KXJ30023.1"
"KXJ29894.1","KXJ29894.1"
"KXJ29883.1","KXJ29883.1"
"KXJ29918.1","KXJ29918.1"
"KXJ29935.1","KXJ29935.1"
"KXJ29952.1","KXJ29952.1"
"KXJ29880.1","KXJ29880.1"
"KXJ29930.1","KXJ29930.1"
"KXJ29904.1","KXJ29904.1"
"KXJ29942.1","KXJ29942.1"
"KXJ30019.1","KXJ30019.1"
"KXJ30050.1","KXJ30050.1"
"KXJ29931.1","KXJ29931.1"
"KXJ29933.1","KXJ29933.1"
"KXJ29878.1","KXJ29878.1"
"KXJ29971.1","KXJ29971.1"
"KXJ29958.1","KXJ29958.1"
"KXJ30064.1","KXJ30064.1"
"KXJ30034.1","KXJ30034.1"
"KXJ29957.1","KXJ29957.1"
"KXJ29865.1","KXJ29865.1"
"KXJ29987.1","KXJ29987.1"
"KXJ29950.1","KXJ29950.1"
"KXJ29903.1","KXJ29903.1"
"KXJ30012.1","KXJ30012.1"
"KXJ29995.1","KXJ29995.1"
"KXJ29900.1","KXJ29900.1"
"KXJ29973.1","KXJ29973.1"
"KXJ29959.1","KXJ29959.1"
"KXJ30051.1","KXJ30051.1"
"KXJ29964.1","KXJ29964.1"
"KXJ29892.1","KXJ29892.1"
"KXJ29960.1","KXJ29960.1"
"KXJ29897.1","KXJ29897.1"
"KXJ29947.1","KXJ29947.1"
"KXJ30061.1","KXJ30061.1"
"KXJ29956.1","KXJ29956.1"
"KXJ30063.1","KXJ30063.1"
"KXJ29926.1","KXJ29926.1"
"KXJ29978.1","KXJ29978.1"
"KXJ30038.1","KXJ30038.1"
"KXJ29875.1","KXJ29875.1"
"KXJ30025.1","KXJ30025.1"
"KXJ29985.1","KXJ29985.1"
"KXJ29955.1","KXJ29955.1"
"KXJ29890.1","KXJ29890.1"
"KXJ29938.1","KXJ29938.1"
"KXJ29968.1","KXJ29968.1"
"KXJ29953.1","KXJ29953.1"
"KXJ29972.1","KXJ29972.1"
"KXJ29869.1","KXJ29869.1"
"KXJ30032.1","KXJ30032.1"
"KXJ29943.1","KXJ29943.1"
"KXJ29961.1","KXJ29961.1"
"KXJ30030.1","KXJ30030.1"
"KXJ29983.1","KXJ29983.1"
"KXJ30028.1","KXJ30028.1"
"KXJ29861.1","KXJ29861.1"
"KXJ29991.1","KXJ29991.1"
"KXJ30011.1","KXJ30011.1"
"KXJ30009.1","KXJ30009.1"
"KXJ29891.1","KXJ29891.1"
"KXJ30004.1","KXJ30004.1"
"KXJ30024.1","KXJ30024.1"
"KXJ29873.1","KXJ29873.1"
"KXJ29989.1","KXJ29989.1"
"KXJ30062.1","KXJ30062.1"
"KXJ30055.1","KXJ30055.1"
"KXJ29994.1","KXJ29994.1"
"KXJ29970.1","KXJ29970.1"
"KXJ29967.1","KXJ29967.1"
"KXJ29912.1","KXJ29912.1"
"KXJ30044.1","KXJ30044.1"
"KXJ29855.1","KXJ29855.1"
"KXJ30048.1","KXJ30048.1"
"KXJ30000.1","KXJ30000.1"
"KXJ29868.1","KXJ29868.1"
"KXJ29859.1","KXJ29859.1"
"KXJ29854.1","KXJ29854.1"
"KXJ29975.1","KXJ29975.1"
"KXJ29889.1","KXJ29889.1"
"KXJ29990.1","KXJ29990.1"
"KXJ29874.1","KXJ29874.1"
"KXJ29914.1","KXJ29914.1"
"KXJ30031.1","KXJ30031.1"
"KXJ30059.1","KXJ30059.1"
"KXJ30003.1","KXJ30003.1"
"KXJ30057.1","KXJ30057.1"
"KXJ29872.1","KXJ29872.1"
"KXJ30054.1","KXJ30054.1"
"KXJ30058.1","KXJ30058.1"
"KXJ29929.1","KXJ29929.1"
"KXJ29908.1","KXJ29908.1"
"KXJ29898.1","KXJ29898.1"
"KXJ29915.1","KXJ29915.1"
"KXJ29954.1","KXJ29954.1"
"KXJ29966.1","KXJ29966.1"
"KXJ29881.1","KXJ29881.1"
"KXJ29988.1","KXJ29988.1"
"KXJ29922.1","KXJ29922.1"
"KXJ29867.1","KXJ29867.1"
"KXJ30027.1","KXJ30027.1"
"KXJ29876.1","KXJ29876.1"
"KXJ29999.1","KXJ29999.1"
"KXJ29969.1","KXJ29969.1"
"KXJ30016.1","KXJ30016.1"
"KXJ30014.1","KXJ30014.1"
"KXJ29963.1","KXJ29963.1"
"KXJ29940.1","KXJ29940.1"
"KXJ30052.1","KXJ30052.1"
"KXJ29993.1","KXJ29993.1"
"KXJ30008.1","KXJ30008.1"
"KXJ29965.1","KXJ29965.1"
"KXJ29977.1","KXJ29977.1"
"KXJ29996.1","KXJ29996.1"
"KXJ29902.1","KXJ29902.1"
"KXJ29857.1","KXJ29857.1"
"KXJ29920.1","KXJ29920.1"
"KXJ30021.1","KXJ30021.1"
"KXJ29946.1","KXJ29946.1"
"KXJ29853.1","KXJ29853.1"
"KXJ30039.1","KXJ30039.1"
"KXJ29895.1","KXJ29895.1"
"KXJ30042.1","KXJ30042.1"
"KXJ29863.1","KXJ29863.1"
"KXJ29937.1","KXJ29937.1"
"KXJ30065.1","KXJ30065.1"
"KXJ29982.1","KXJ29982.1"
"KXJ29924.1","KXJ29924.1"
"KXJ29851.1","KXJ29851.1"
"KXJ30018.1","KXJ30018.1"
"KXJ29852.1","KXJ29852.1"
"KXJ29893.1","KXJ29893.1"
"KXJ29877.1","KXJ29877.1"
"KXJ29916.1","KXJ29916.1"
"KXJ29980.1","KXJ29980.1"
"KXJ29882.1","KXJ29882.1"
"KXJ30007.1","KXJ30007.1"
"KXJ29941.1","KXJ29941.1"
"KXJ30020.1","KXJ30020.1"
"KXJ30037.1","KXJ30037.1"
"KXJ30026.1","KXJ30026.1"
"KXJ29864.1","KXJ29864.1"
"KXJ29974.1","KXJ29974.1"
"KXJ30002.1","KXJ30002.1"
"KXJ30029.1","KXJ30029.1"
"KXJ29899.1","KXJ29899.1"
"KXJ29936.1","KXJ29936.1"
"KXJ29885.1","KXJ29885.1"
"KXJ29886.1","KXJ29886.1"
"KXJ29998.1","KXJ29998.1"
"KXJ29949.1","KXJ29949.1"
"KXJ29984.1","KXJ29984.1"
"KXJ30047.1","KXJ30047.1"
"KXJ29862.1","KXJ29862.1"
"KXJ29919.1","KXJ29919.1"
"KXJ29945.1","KXJ29945.1"
"KXJ29860.1","KXJ29860.1"
"KXJ30049.1","KXJ30049.1"
"KXJ30033.1","KXJ30033.1"
"KXJ29911.1","KXJ29911.1"
"KXJ29928.1","KXJ29928.1"
"KXJ29976.1","KXJ29976.1"
"KXJ29934.1","KXJ29934.1"
"KXJ30017.1","KXJ30017.1"
"KXJ30041.1","KXJ30041.1"
"KXJ30001.1","KXJ30001.1"
"KXJ29910.1","KXJ29910.1"
"KXJ29887.1","KXJ29887.1"
"KXJ29870.1","KXJ29870.1"
"KXJ29907.1","KXJ29907.1"
"KXJ30013.1","KXJ30013.1"
"KXJ29917.1","KXJ29917.1"
"KXJ29962.1","KXJ29962.1"
"KXJ30043.1","KXJ30043.1"
"KXJ29823.1","KXJ29823.1"
"KXJ29763.1","KXJ29763.1"
"KXJ29790.1","KXJ29790.1"
"KXJ29738.1","KXJ29738.1"
"KXJ29768.1","KXJ29768.1"
"KXJ29688.1","KXJ29688.1"
"KXJ29826.1","KXJ29826.1"
"KXJ29665.1","KXJ29665.1"
"KXJ29740.1","KXJ29740.1"
"KXJ29831.1","KXJ29831.1"
"KXJ29732.1","KXJ29732.1"
"KXJ29805.1","KXJ29805.1"
"KXJ29691.1","KXJ29691.1"
"KXJ29770.1","KXJ29770.1"
"KXJ29690.1","KXJ29690.1"
"KXJ29666.1","KXJ29666.1"
"KXJ29687.1","KXJ29687.1"
"KXJ29660.1","KXJ29660.1"
"KXJ29685.1","KXJ29685.1"
"KXJ29807.1","KXJ29807.1"
"KXJ29794.1","KXJ29794.1"
"KXJ29743.1","KXJ29743.1"
"KXJ29681.1","KXJ29681.1"
"KXJ29772.1","KXJ29772.1"
"KXJ29722.1","KXJ29722.1"
"KXJ29729.1","KXJ29729.1"
"KXJ29719.1","KXJ29719.1"
"KXJ29808.1","KXJ29808.1"
"KXJ29844.1","KXJ29844.1"
"KXJ29751.1","KXJ29751.1"
"KXJ29710.1","KXJ29710.1"
"KXJ29734.1","KXJ29734.1"
"KXJ29802.1","KXJ29802.1"
"KXJ29715.1","KXJ29715.1"
"KXJ29842.1","KXJ29842.1"
"KXJ29786.1","KXJ29786.1"
"KXJ29796.1","KXJ29796.1"
"KXJ29693.1","KXJ29693.1"
"KXJ29812.1","KXJ29812.1"
"KXJ29797.1","KXJ29797.1"
"KXJ29829.1","KXJ29829.1"
"KXJ29724.1","KXJ29724.1"
"KXJ29718.1","KXJ29718.1"
"KXJ29672.1","KXJ29672.1"
"KXJ29825.1","KXJ29825.1"
"KXJ29745.1","KXJ29745.1"
"KXJ29678.1","KXJ29678.1"
"KXJ29809.1","KXJ29809.1"
"KXJ29848.1","KXJ29848.1"
"KXJ29789.1","KXJ29789.1"
"KXJ29737.1","KXJ29737.1"
"KXJ29747.1","KXJ29747.1"
"KXJ29838.1","KXJ29838.1"
"KXJ29815.1","KXJ29815.1"
"KXJ29834.1","KXJ29834.1"
"KXJ29777.1","KXJ29777.1"
"KXJ29820.1","KXJ29820.1"
"KXJ29765.1","KXJ29765.1"
"KXJ29835.1","KXJ29835.1"
"KXJ29664.1","KXJ29664.1"
"KXJ29847.1","KXJ29847.1"
"KXJ29754.1","KXJ29754.1"
"KXJ29725.1","KXJ29725.1"
"KXJ29781.1","KXJ29781.1"
"KXJ29775.1","KXJ29775.1"
"KXJ29766.1","KXJ29766.1"
"KXJ29675.1","KXJ29675.1"
"KXJ29659.1","KXJ29659.1"
"KXJ29798.1","KXJ29798.1"
"KXJ29795.1","KXJ29795.1"
"KXJ29744.1","KXJ29744.1"
"KXJ29782.1","KXJ29782.1"
"KXJ29824.1","KXJ29824.1"
"KXJ29755.1","KXJ29755.1"
"KXJ29717.1","KXJ29717.1"
"KXJ29803.1","KXJ29803.1"
"KXJ29723.1","KXJ29723.1"
"KXJ29806.1","KXJ29806.1"
"KXJ29684.1","KXJ29684.1"
"KXJ29773.1","KXJ29773.1"
"KXJ29692.1","KXJ29692.1"
"KXJ29749.1","KXJ29749.1"
"KXJ29714.1","KXJ29714.1"
"KXJ29720.1","KXJ29720.1"
"KXJ29709.1","KXJ29709.1"
"KXJ29696.1","KXJ29696.1"
"KXJ29840.1","KXJ29840.1"
"KXJ29726.1","KXJ29726.1"
"KXJ29778.1","KXJ29778.1"
"KXJ29727.1","KXJ29727.1"
"KXJ29708.1","KXJ29708.1"
"KXJ29741.1","KXJ29741.1"
"KXJ29670.1","KXJ29670.1"
"KXJ29785.1","KXJ29785.1"
"KXJ29711.1","KXJ29711.1"
"KXJ29769.1","KXJ29769.1"
"KXJ29837.1","KXJ29837.1"
"KXJ29704.1","KXJ29704.1"
"KXJ29804.1","KXJ29804.1"
"KXJ29694.1","KXJ29694.1"
"KXJ29700.1","KXJ29700.1"
"KXJ29779.1","KXJ29779.1"
"KXJ29702.1","KXJ29702.1"
"KXJ29663.1","KXJ29663.1"
"KXJ29839.1","KXJ29839.1"
"KXJ29680.1","KXJ29680.1"
"KXJ29706.1","KXJ29706.1"
"KXJ29757.1","KXJ29757.1"
"KXJ29836.1","KXJ29836.1"
"KXJ29682.1","KXJ29682.1"
"KXJ29832.1","KXJ29832.1"
"KXJ29828.1","KXJ29828.1"
"KXJ29788.1","KXJ29788.1"
"KXJ29673.1","KXJ29673.1"
"KXJ29764.1","KXJ29764.1"
"KXJ29762.1","KXJ29762.1"
"KXJ29821.1","KXJ29821.1"
"KXJ29759.1","KXJ29759.1"
"KXJ29760.1","KXJ29760.1"
"KXJ29846.1","KXJ29846.1"
"KXJ29819.1","KXJ29819.1"
"KXJ29707.1","KXJ29707.1"
"KXJ29776.1","KXJ29776.1"
"KXJ29668.1","KXJ29668.1"
"KXJ29841.1","KXJ29841.1"
"KXJ29756.1","KXJ29756.1"
"KXJ29814.1","KXJ29814.1"
"KXJ29833.1","KXJ29833.1"
"KXJ29817.1","KXJ29817.1"
"KXJ29758.1","KXJ29758.1"
"KXJ29771.1","KXJ29771.1"
"KXJ29716.1","KXJ29716.1"
"KXJ29677.1","KXJ29677.1"
"KXJ29662.1","KXJ29662.1"
"KXJ29742.1","KXJ29742.1"
"KXJ29671.1","KXJ29671.1"
"KXJ29822.1","KXJ29822.1"
"KXJ29783.1","KXJ29783.1"
"KXJ29713.1","KXJ29713.1"
"KXJ29731.1","KXJ29731.1"
"KXJ29712.1","KXJ29712.1"
"KXJ29698.1","KXJ29698.1"
"KXJ29667.1","KXJ29667.1"
"KXJ29818.1","KXJ29818.1"
"KXJ29761.1","KXJ29761.1"
"KXJ29816.1","KXJ29816.1"
"KXJ29811.1","KXJ29811.1"
"KXJ29830.1","KXJ29830.1"
"KXJ29774.1","KXJ29774.1"
"KXJ29669.1","KXJ29669.1"
"KXJ29845.1","KXJ29845.1"
"KXJ29843.1","KXJ29843.1"
"KXJ29780.1","KXJ29780.1"
"KXJ29683.1","KXJ29683.1"
"KXJ29686.1","KXJ29686.1"
"KXJ29748.1","KXJ29748.1"
"KXJ29730.1","KXJ29730.1"
"KXJ29801.1","KXJ29801.1"
"KXJ29767.1","KXJ29767.1"
"KXJ29676.1","KXJ29676.1"
"KXJ29679.1","KXJ29679.1"
"KXJ29736.1","KXJ29736.1"
"KXJ29827.1","KXJ29827.1"
"KXJ29787.1","KXJ29787.1"
"KXJ29799.1","KXJ29799.1"
"KXJ29813.1","KXJ29813.1"
"KXJ29753.1","KXJ29753.1"
"KXJ29705.1","KXJ29705.1"
"KXJ29697.1","KXJ29697.1"
"KXJ29739.1","KXJ29739.1"
"KXJ29800.1","KXJ29800.1"
"KXJ29733.1","KXJ29733.1"
"KXJ29791.1","KXJ29791.1"
"KXJ29810.1","KXJ29810.1"
"KXJ29699.1","KXJ29699.1"
"KXJ29721.1","KXJ29721.1"
"KXJ29703.1","KXJ29703.1"
"KXJ29784.1","KXJ29784.1"
"KXJ29695.1","KXJ29695.1"
"KXJ29792.1","KXJ29792.1"
"KXJ29750.1","KXJ29750.1"
"KXJ29728.1","KXJ29728.1"
"KXJ29793.1","KXJ29793.1"
"KXJ29689.1","KXJ29689.1"
"KXJ29701.1","KXJ29701.1"
"KXJ29752.1","KXJ29752.1"
"KXJ29735.1","KXJ29735.1"
"KXJ29674.1","KXJ29674.1"
"KXJ29746.1","KXJ29746.1"
"KXJ29661.1","KXJ29661.1"
"KXJ29643.1","KXJ29643.1"
"KXJ29613.1","KXJ29613.1"
"KXJ29644.1","KXJ29644.1"
"KXJ29620.1","KXJ29620.1"
"KXJ29510.1","KXJ29510.1"
"KXJ29642.1","KXJ29642.1"
"KXJ29568.1","KXJ29568.1"
"KXJ29583.1","KXJ29583.1"
"KXJ29634.1","KXJ29634.1"
"KXJ29608.1","KXJ29608.1"
"KXJ29641.1","KXJ29641.1"
"KXJ29646.1","KXJ29646.1"
"KXJ29530.1","KXJ29530.1"
"KXJ29657.1","KXJ29657.1"
"KXJ29615.1","KXJ29615.1"
"KXJ29593.1","KXJ29593.1"
"KXJ29552.1","KXJ29552.1"
"KXJ29507.1","KXJ29507.1"
"KXJ29542.1","KXJ29542.1"
"KXJ29536.1","KXJ29536.1"
"KXJ29648.1","KXJ29648.1"
"KXJ29609.1","KXJ29609.1"
"KXJ29548.1","KXJ29548.1"
"KXJ29566.1","KXJ29566.1"
"KXJ29647.1","KXJ29647.1"
"KXJ29612.1","KXJ29612.1"
"KXJ29511.1","KXJ29511.1"
"KXJ29601.1","KXJ29601.1"
"KXJ29521.1","KXJ29521.1"
"KXJ29571.1","KXJ29571.1"
"KXJ29514.1","KXJ29514.1"
"KXJ29655.1","KXJ29655.1"
"KXJ29589.1","KXJ29589.1"
"KXJ29624.1","KXJ29624.1"
"KXJ29560.1","KXJ29560.1"
"KXJ29632.1","KXJ29632.1"
"KXJ29577.1","KXJ29577.1"
"KXJ29650.1","KXJ29650.1"
"KXJ29656.1","KXJ29656.1"
"KXJ29576.1","KXJ29576.1"
"KXJ29658.1","KXJ29658.1"
"KXJ29567.1","KXJ29567.1"
"KXJ29558.1","KXJ29558.1"
"KXJ29627.1","KXJ29627.1"
"KXJ29531.1","KXJ29531.1"
"KXJ29622.1","KXJ29622.1"
"KXJ29512.1","KXJ29512.1"
"KXJ29625.1","KXJ29625.1"
"KXJ29652.1","KXJ29652.1"
"KXJ29649.1","KXJ29649.1"
"KXJ29619.1","KXJ29619.1"
"KXJ29556.1","KXJ29556.1"
"KXJ29645.1","KXJ29645.1"
"KXJ29539.1","KXJ29539.1"
"KXJ29580.1","KXJ29580.1"
"KXJ29564.1","KXJ29564.1"
"KXJ29546.1","KXJ29546.1"
"KXJ29586.1","KXJ29586.1"
"KXJ29562.1","KXJ29562.1"
"KXJ29616.1","KXJ29616.1"
"KXJ29603.1","KXJ29603.1"
"KXJ29569.1","KXJ29569.1"
"KXJ29600.1","KXJ29600.1"
"KXJ29626.1","KXJ29626.1"
"KXJ29519.1","KXJ29519.1"
"KXJ29630.1","KXJ29630.1"
"KXJ29517.1","KXJ29517.1"
"KXJ29535.1","KXJ29535.1"
"KXJ29509.1","KXJ29509.1"
"KXJ29534.1","KXJ29534.1"
"KXJ29520.1","KXJ29520.1"
"KXJ29554.1","KXJ29554.1"
"KXJ29522.1","KXJ29522.1"
"KXJ29631.1","KXJ29631.1"
"KXJ29515.1","KXJ29515.1"
"KXJ29629.1","KXJ29629.1"
"KXJ29551.1","KXJ29551.1"
"KXJ29574.1","KXJ29574.1"
"KXJ29594.1","KXJ29594.1"
"KXJ29525.1","KXJ29525.1"
"KXJ29547.1","KXJ29547.1"
"KXJ29636.1","KXJ29636.1"
"KXJ29611.1","KXJ29611.1"
"KXJ29638.1","KXJ29638.1"
"KXJ29527.1","KXJ29527.1"
"KXJ29578.1","KXJ29578.1"
"KXJ29610.1","KXJ29610.1"
"KXJ29623.1","KXJ29623.1"
"KXJ29633.1","KXJ29633.1"
"KXJ29640.1","KXJ29640.1"
"KXJ29528.1","KXJ29528.1"
"KXJ29544.1","KXJ29544.1"
"KXJ29592.1","KXJ29592.1"
"KXJ29590.1","KXJ29590.1"
"KXJ29533.1","KXJ29533.1"
"KXJ29561.1","KXJ29561.1"
"KXJ29541.1","KXJ29541.1"
"KXJ29504.1","KXJ29504.1"
"KXJ29585.1","KXJ29585.1"
"KXJ29508.1","KXJ29508.1"
"KXJ29559.1","KXJ29559.1"
"KXJ29602.1","KXJ29602.1"
"KXJ29516.1","KXJ29516.1"
"KXJ29526.1","KXJ29526.1"
"KXJ29596.1","KXJ29596.1"
"KXJ29537.1","KXJ29537.1"
"KXJ29595.1","KXJ29595.1"
"KXJ29523.1","KXJ29523.1"
"KXJ29635.1","KXJ29635.1"
"KXJ29529.1","KXJ29529.1"
"KXJ29557.1","KXJ29557.1"
"KXJ29573.1","KXJ29573.1"
"KXJ29651.1","KXJ29651.1"
"KXJ29614.1","KXJ29614.1"
"KXJ29543.1","KXJ29543.1"
"KXJ29524.1","KXJ29524.1"
"KXJ29584.1","KXJ29584.1"
"KXJ29604.1","KXJ29604.1"
"KXJ29607.1","KXJ29607.1"
"KXJ29532.1","KXJ29532.1"
"KXJ29518.1","KXJ29518.1"
"KXJ29513.1","KXJ29513.1"
"KXJ29582.1","KXJ29582.1"
"KXJ29553.1","KXJ29553.1"
