"id","title","authors"
"ko05205","Hyaluronan-mediated CD44 activation of RhoGTPase signaling and cytoskeleton function promotes tumor progression.","Bourguignon LY"
"map05205","Lumican, a small leucine-rich proteoglycan.","Nikitovic D, Katonis P, Tsatsakis A, Karamanos NK, Tzanakakis GN"
"map05205","Proteoglycans in cancer biology, tumour microenvironment and angiogenesis.","Iozzo RV, Sanderson RD"
"map05205","Glypican-3-mediated oncogenesis involves the Insulin-like growth factor-signaling pathway.","Cheng W, Tseng CJ, Lin TT, Cheng I, Pan HW, Hsu HC, Lee YM"
"map05205","The role of glypicans in Hedgehog signaling.","Filmus J, Capurro M"
"map05205","The role of glypican-3 in regulating Wnt in hepatocellular carcinomas.","Gao W, Ho M"
"map05205","Glypican-3: a marker and a therapeutic target in hepatocellular carcinoma.","Filmus J, Capurro M"
"map05205","Glypicans.","Filmus J, Capurro M, Rast J"
"map05205","Synergistic control of cell adhesion by integrins and syndecans.","Morgan MR, Humphries MJ, Bass MD"
"map05205","Syndecans in tumor cell adhesion and signaling.","Beauvais DM, Rapraeger AC"
"map05205","ADAM12/syndecan-4 signaling promotes beta 1 integrin-dependent cell spreading through protein kinase Calpha and RhoA.","Thodeti CK, Albrechtsen R, Grauslund M, Asmar M, Larsson C, Takada Y, Mercurio AM, Couchman JR, Wewer UM"
"map05205","Syndesmos, a protein that interacts with the cytoplasmic domain of syndecan-4, mediates cell spreading and actin cytoskeletal organization.","Baciu PC, Saoncella S, Lee SH, Denhez F, Leuthardt D, Goetinck PF"
"map05205","Fibroblast growth factor-2.","Nugent MA, Iozzo RV"
"map05205","The role of syndecan-2 in regulation of actin-cytoskeletal organization of Lewis lung carcinoma-derived metastatic clones.","Munesue S, Kusano Y, Oguri K, Itano N, Yoshitomi Y, Nakanishi H, Yamashina I, Okayama M"
"map05205","The HGF/MET pathway as target for the treatment of multiple myeloma and B-cell lymphomas.","Mahtouk K, Tjin EP, Spaargaren M, Pals ST"
"map05205","Syndecan-1 regulates alphavbeta3 and alphavbeta5 integrin activation during angiogenesis and is blocked by synstatin, a novel peptide inhibitor.","Beauvais DM, Ell BJ, McWhorter AR, Rapraeger AC"
"map05205","Heparanase stimulation of protease expression implicates it as a master regulator of the aggressive tumor phenotype in myeloma.","Purushothaman A, Chen L, Yang Y, Sanderson RD"
"map05205","Heparanase: busy at the cell surface.","Fux L, Ilan N, Sanderson RD, Vlodavsky I"
"map05205","Cell surface proteoglycan syndecan-1 mediates hepatocyte growth factor binding and promotes Met signaling in multiple myeloma.","Derksen PW, Keehnen RM, Evers LM, van Oers MH, Spaargaren M, Pals ST"
"map05205","Molecular functions of syndecan-1 in disease.","Teng YH, Aquino RS, Park PW"
"map05205","Signaling by the matrix proteoglycan decorin controls inflammation and cancer through PDCD4 and MicroRNA-21.","Merline R, Moreth K, Beckmann J, Nastase MV, Zeng-Brouwers J, Tralhao JG, Lemarchand P, Pfeilschifter J, Schaefer RM, Iozzo RV, Schaefer L"
"map05205","More than matrix: the multifaceted role of decorin in cancer.","Sofeu Feugaing DD, Gotte M, Viola M"
"map05205","Tumor microenvironment: Modulation by decorin and related molecules harboring leucine-rich tandem motifs.","Goldoni S, Iozzo RV"
"map05205","Decorin antagonizes Met receptor activity and down-regulates {beta}-catenin and Myc levels.","Buraschi S, Pal N, Tyler-Rubinstein N, Owens RT, Neill T, Iozzo RV"
"map05205","Decorin evokes protracted internalization and degradation of the epidermal growth factor receptor via caveolar endocytosis.","Zhu JX, Goldoni S, Bix G, Owens RT, McQuillan DJ, Reed CC, Iozzo RV"
"map05205","Decorin is a novel antagonistic ligand of the Met receptor.","Goldoni S, Humphries A, Nystrom A, Sattar S, Owens RT, McQuillan DJ, Ireton K, Iozzo RV"
"map05205","Decorin antagonizes the angiogenic network: concurrent inhibition of Met, hypoxia inducible factor 1alpha, vascular endothelial growth factor A, and induction of thrombospondin-1 and TIMP3.","Neill T, Painter H, Buraschi S, Owens RT, Lisanti MP, Schaefer L, Iozzo RV"
"map05205","Decorin: a guardian from the matrix.","Neill T, Schaefer L, Iozzo RV"
"map05205","Interaction between the adhesion receptor, CD44, and the oncogene product, p185HER2, promotes human ovarian tumor cell activation.","Bourguignon LY, Zhu H, Chu A, Iida N, Zhang L, Hung MC"
"map05205","Signaling properties of hyaluronan receptors.","Turley EA, Noble PW, Bourguignon LY"
"map05205","Hyaluronan-CD44 interaction with IQGAP1 promotes Cdc42 and ERK signaling, leading to actin binding, Elk-1/estrogen receptor transcriptional activation, and ovarian cancer progression.","Bourguignon LY, Gilad E, Rothman K, Peyrollier K"
"map05205","Hyaluronan-mediated CD44 interaction with RhoGEF and Rho kinase promotes Grb2-associated binder-1 phosphorylation and phosphatidylinositol 3-kinase signaling leading to cytokine (macrophage-colony stimulating factor) production and breast tumor progression.","Bourguignon LY, Singleton PA, Zhu H, Diedrich F"
"map05205","IQGAP1 as signal integrator: Ca2+, calmodulin, Cdc42 and the cytoskeleton.","Briggs MW, Sacks DB"
"map05205","Hyaluronan-mediated CD44 activation of RhoGTPase signaling and cytoskeleton function promotes tumor progression.","Bourguignon LY"
"ko05132","All stressed out. Salmonella pathogenesis and reactive nitrogen species.","Prior K, Hautefort I, Hinton JC, Richardson DJ, Rowley G"
"ko05132","Salmonella effectors translocated across the vacuolar membrane interact with the actin cytoskeleton.","Miao EA, Brittnacher M, Haraga A, Jeng RL, Welch MD, Miller SI"
"ko05132","The Salmonella effector protein PipB2 is a linker for kinesin-1.","Henry T, Couillault C, Rockenfeller P, Boucrot E, Dumont A, Schroeder N, Hermant A, Knodler LA, Lecine P, Steele-Mortimer O, Borg JP, Gorvel JP, Meresse S"
"ko05132","Functional dissection of SseF, a type III effector protein involved in positioning the salmonella-containing vacuole.","Abrahams GL, Muller P, Hensel M"
"ko05132","A Salmonella type III secretion effector interacts with the mammalian serine/threonine protein kinase PKN1.","Haraga A, Miller SI"
"ko05132","Salmonella AvrA Coordinates Suppression of Host Immune and Apoptotic Defenses via JNK Pathway Blockade.","Jones RM, Wu H, Wentworth C, Luo L, Collier-Hyams L, Neish AS"
"ko05132","Selective inhibition of type III secretion activated signaling by the Salmonella effector AvrA.","Du F, Galan JE"
"ko05132","A salmonella protein antagonizes Rac-1 and Cdc42 to mediate host-cell recovery after bacterial invasion.","Fu Y, Galan JE"
"ko05132","Cytokines in host defense against Salmonella.","Eckmann L, Kagnoff MF"
"ko05132","SseBCD proteins are secreted by the type III secretion system of Salmonella pathogenicity island 2 and function as a translocon.","Nikolaus T, Deiwick J, Rappl C, Freeman JA, Schroder W, Miller SI, Hensel M"
"ko05132","Role for myosin II in regulating positioning of Salmonella-containing vacuoles and intracellular replication.","Wasylnka JA, Bakowski MA, Szeto J, Ohlson MB, Trimble WS, Miller SI, Brumell JH"
"ko05132","Salmonella-containing vacuoles: directing traffic and nesting to grow.","Bakowski MA, Braun V, Brumell JH"
"ko05132","Bacterial guanine nucleotide exchange factors SopE-like and WxxxE effectors.","Bulgin R, Raymond B, Garnett JA, Frankel G, Crepin VF, Berger CN, Arbeloa A"
"ko05132","Differential activation and function of Rho GTPases during Salmonella-host cell interactions.","Patel JC, Galan JE"
"ko05132","Assembly of the type III secretion needle complex of Salmonella typhimurium.","Kimbrough TG, Miller SI"
"ko05132","Salmonellae interplay with host cells.","Haraga A, Ohlson MB, Miller SI"
"ko05132","Virulence mechanisms displayed by Salmonella to impair dendritic cell function.","Bueno SM, Riedel CA, Carreno LJ, Kalergis AM"
"ko05132","TLR5 and Ipaf: dual sensors of bacterial flagellin in the innate immune system.","Miao EA, Andersen-Nissen E, Warren SE, Aderem A"
"ko05132","Flagellin suppresses epithelial apoptosis and limits disease during enteric infection.","Vijay-Kumar M, Wu H, Jones R, Grant G, Babbin B, King TP, Kelly D, Gewirtz AT, Neish AS"
"ko05132","Cutting edge: bacterial flagellin activates basolaterally expressed TLR5 to induce epithelial proinflammatory gene expression.","Gewirtz AT, Navas TA, Lyons S, Godowski PJ, Madara JL"
"ko05132","Salmonella--the ultimate insider. Salmonella virulence factors that modulate intracellular survival.","Ibarra JA, Steele-Mortimer O"
"ko05132","Toll-like receptor 4 signalling through MyD88 is essential to control Salmonella enterica serovar typhimurium infection, but not for the initiation of bacterial clearance.","Talbot S, Totemeyer S, Yamamoto M, Akira S, Hughes K, Gray D, Barr T, Mastroeni P, Maskell DJ, Bryant CE"
"ko05132","Innate immune response in the gut against Salmonella - review.","Trebichavsky I, Splichal I, Splichalova A"
"map05132","All stressed out. Salmonella pathogenesis and reactive nitrogen species.","Prior K, Hautefort I, Hinton JC, Richardson DJ, Rowley G"
"map05132","Salmonella effectors translocated across the vacuolar membrane interact with the actin cytoskeleton.","Miao EA, Brittnacher M, Haraga A, Jeng RL, Welch MD, Miller SI"
"map05132","The Salmonella effector protein PipB2 is a linker for kinesin-1.","Henry T, Couillault C, Rockenfeller P, Boucrot E, Dumont A, Schroeder N, Hermant A, Knodler LA, Lecine P, Steele-Mortimer O, Borg JP, Gorvel JP, Meresse S"
"map05132","Functional dissection of SseF, a type III effector protein involved in positioning the salmonella-containing vacuole.","Abrahams GL, Muller P, Hensel M"
"map05132","A Salmonella type III secretion effector interacts with the mammalian serine/threonine protein kinase PKN1.","Haraga A, Miller SI"
"map05132","Salmonella AvrA Coordinates Suppression of Host Immune and Apoptotic Defenses via JNK Pathway Blockade.","Jones RM, Wu H, Wentworth C, Luo L, Collier-Hyams L, Neish AS"
"map05132","Selective inhibition of type III secretion activated signaling by the Salmonella effector AvrA.","Du F, Galan JE"
"map05132","A salmonella protein antagonizes Rac-1 and Cdc42 to mediate host-cell recovery after bacterial invasion.","Fu Y, Galan JE"
"map05132","Cytokines in host defense against Salmonella.","Eckmann L, Kagnoff MF"
"map05132","SseBCD proteins are secreted by the type III secretion system of Salmonella pathogenicity island 2 and function as a translocon.","Nikolaus T, Deiwick J, Rappl C, Freeman JA, Schroder W, Miller SI, Hensel M"
"map05132","Role for myosin II in regulating positioning of Salmonella-containing vacuoles and intracellular replication.","Wasylnka JA, Bakowski MA, Szeto J, Ohlson MB, Trimble WS, Miller SI, Brumell JH"
"map05132","Salmonella-containing vacuoles: directing traffic and nesting to grow.","Bakowski MA, Braun V, Brumell JH"
"map05132","Bacterial guanine nucleotide exchange factors SopE-like and WxxxE effectors.","Bulgin R, Raymond B, Garnett JA, Frankel G, Crepin VF, Berger CN, Arbeloa A"
"map05132","Differential activation and function of Rho GTPases during Salmonella-host cell interactions.","Patel JC, Galan JE"
"map05132","Assembly of the type III secretion needle complex of Salmonella typhimurium.","Kimbrough TG, Miller SI"
"map05132","Salmonellae interplay with host cells.","Haraga A, Ohlson MB, Miller SI"
"map05132","Virulence mechanisms displayed by Salmonella to impair dendritic cell function.","Bueno SM, Riedel CA, Carreno LJ, Kalergis AM"
"map05132","TLR5 and Ipaf: dual sensors of bacterial flagellin in the innate immune system.","Miao EA, Andersen-Nissen E, Warren SE, Aderem A"
"map05132","Flagellin suppresses epithelial apoptosis and limits disease during enteric infection.","Vijay-Kumar M, Wu H, Jones R, Grant G, Babbin B, King TP, Kelly D, Gewirtz AT, Neish AS"
"map05132","Cutting edge: bacterial flagellin activates basolaterally expressed TLR5 to induce epithelial proinflammatory gene expression.","Gewirtz AT, Navas TA, Lyons S, Godowski PJ, Madara JL"
"map05132","Salmonella--the ultimate insider. Salmonella virulence factors that modulate intracellular survival.","Ibarra JA, Steele-Mortimer O"
"map05132","Toll-like receptor 4 signalling through MyD88 is essential to control Salmonella enterica serovar typhimurium infection, but not for the initiation of bacterial clearance.","Talbot S, Totemeyer S, Yamamoto M, Akira S, Hughes K, Gray D, Barr T, Mastroeni P, Maskell DJ, Bryant CE"
"map05132","Innate immune response in the gut against Salmonella - review.","Trebichavsky I, Splichal I, Splichalova A"
"ko04510","The mechanism of action of the tumour suppressor gene PTEN.","Hlobilkova A, Knillova J, Bartek J, Lukas J, Kolar Z."
"ko04510","Paxillin and focal adhesion signalling.","Turner CE."
"ko04510","Regulation of E-cadherin expression and beta-catenin/Tcf transcriptional activity by the integrin-linked kinase.","Oloumi A, McPhee T, Dedhar S."
"ko04510","The protein kinase B/Akt signalling pathway in human malignancy.","Nicholson KM, Anderson NG."
"ko04510","The PI3K-PDK1 connection: more than just a road to PKB.","Vanhaesebroeck B, Alessi DR."
"ko04510","Rho GTPases: signaling, migration, and invasion.","Schmitz AA, Govek EE, Bottner B, Van Aelst L."
"ko04510","Rho and Rac take center stage.","Burridge K, Wennerberg K."
"ko04510","Multiple connections link FAK to cell motility and invasion.","Schlaepfer DD, Mitra SK."
"ko04510","Interactions between growth factor receptors and adhesion molecules: breaking the rules.","Comoglio PM, Boccaccio C, Trusolino L."
"ko04510","Focal adhesion kinase: in command and control of cell motility.","Mitra SK, Hanson DA, Schlaepfer DD."
"ko04510","Focal adhesion kinase: the first ten years.","Parsons JT."
"ko04510","Get a ligand, get a life: integrins, signaling and cell survival.","Stupack DG, Cheresh DA."
"ko04510","Focal adhesions: structure and dynamics.","Petit V, Thiery JP."
"ko04510","Integrin signalling during tumour progression.","Guo W, Giancotti FG."
"ko04510","Fibronectin, integrins, and growth control.","Danen EH, Yamada KM."
"ko04510","Mitogenic signal transduction by integrin- and growth factor receptor-mediated pathways.","Lee JW, Juliano R."
"ko04510","Integrins: structure and signaling.","Berman AE, Kozlova NI, Morozevich GE."
"map04510","The mechanism of action of the tumour suppressor gene PTEN.","Hlobilkova A, Knillova J, Bartek J, Lukas J, Kolar Z."
"map04510","Paxillin and focal adhesion signalling.","Turner CE."
"map04510","Regulation of E-cadherin expression and beta-catenin/Tcf transcriptional activity by the integrin-linked kinase.","Oloumi A, McPhee T, Dedhar S."
"map04510","The protein kinase B/Akt signalling pathway in human malignancy.","Nicholson KM, Anderson NG."
"map04510","The PI3K-PDK1 connection: more than just a road to PKB.","Vanhaesebroeck B, Alessi DR."
"map04510","Rho GTPases: signaling, migration, and invasion.","Schmitz AA, Govek EE, Bottner B, Van Aelst L."
"map04510","Rho and Rac take center stage.","Burridge K, Wennerberg K."
"map04510","Multiple connections link FAK to cell motility and invasion.","Schlaepfer DD, Mitra SK."
"map04510","Interactions between growth factor receptors and adhesion molecules: breaking the rules.","Comoglio PM, Boccaccio C, Trusolino L."
"map04510","Focal adhesion kinase: in command and control of cell motility.","Mitra SK, Hanson DA, Schlaepfer DD."
"map04510","Focal adhesion kinase: the first ten years.","Parsons JT."
"map04510","Get a ligand, get a life: integrins, signaling and cell survival.","Stupack DG, Cheresh DA."
"map04510","Focal adhesions: structure and dynamics.","Petit V, Thiery JP."
"map04510","Integrin signalling during tumour progression.","Guo W, Giancotti FG."
"map04510","Fibronectin, integrins, and growth control.","Danen EH, Yamada KM."
"map04510","Mitogenic signal transduction by integrin- and growth factor receptor-mediated pathways.","Lee JW, Juliano R."
"map04510","Integrins: structure and signaling.","Berman AE, Kozlova NI, Morozevich GE."
"ko04010","Cytokines and chemokines: At the crossroads of cell signalling and inflammatory disease.","Turner MD, Nedjai B, Hurst T, Pennington DJ"
"ko04010","Cell type-specific function of TAK1 in innate immune signaling.","Ajibade AA, Wang HY, Wang RF"
"ko04010","Targeting innate immunity protein kinase signalling in inflammation.","Gaestel M, Kotlyarov A, Kracht M"
"ko04010","Signaling in innate immunity and inflammation.","Newton K, Dixit VM"
"ko04010","Tumor necrosis factor.","Chu WM"
"ko04010","The neurotrophin family of neurotrophic factors: an overview.","Skaper SD"
"ko04010","Cell signaling by receptor tyrosine kinases.","Lemmon MA, Schlessinger J"
"ko04010","Silica induces nuclear factor-kappaB activation through TAK1 and NIK in Rat2 cell line.","Cho H, Lee J, Kwak NJ, Lee KH, Rha S, Kim YH, Cho YY, Yang KH, Kim K, Lim Y."
"ko04010","The role of mitogen-activated protein kinase pathways in Alzheimer's disease.","Zhu X, Lee HG, Raina AK, Perry G, Smith MA."
"ko04010","Transcriptional regulation by the MAP kinase signaling cascades.","Yang SH, Sharrocks AD, Whitmarsh AJ."
"ko04010","Neuronal p38 MAPK signalling: an emerging regulator of cell fate and function in the nervous system.","Takeda K, Ichijo H"
"ko04010","Signalling for survival and death in neurones: the role of stress-activated kinases, JNK and p38.","Harper SJ, LoGrasso P."
"ko04010","Trk receptors: roles in neuronal signal transduction.","Huang EJ, Reichardt LF."
"ko04010","MAPK pathways in radiation responses.","Dent P, Yacoub A, Fisher PB, Hagan MP, Grant S."
"ko04010","Docking interactions in the mitogen-activated protein kinase cascades.","Tanoue T, Nishida E."
"ko04010","MAP kinases.","Chen Z, Gibson TB, Robinson F, Silvestro L, Pearson G, Xu B, Wright A, Vanderbilt C, Cobb MH."
"map04010","Cytokines and chemokines: At the crossroads of cell signalling and inflammatory disease.","Turner MD, Nedjai B, Hurst T, Pennington DJ"
"map04010","Cell type-specific function of TAK1 in innate immune signaling.","Ajibade AA, Wang HY, Wang RF"
"map04010","Targeting innate immunity protein kinase signalling in inflammation.","Gaestel M, Kotlyarov A, Kracht M"
"map04010","Signaling in innate immunity and inflammation.","Newton K, Dixit VM"
"map04010","Tumor necrosis factor.","Chu WM"
"map04010","The neurotrophin family of neurotrophic factors: an overview.","Skaper SD"
"map04010","Cell signaling by receptor tyrosine kinases.","Lemmon MA, Schlessinger J"
"map04010","Silica induces nuclear factor-kappaB activation through TAK1 and NIK in Rat2 cell line.","Cho H, Lee J, Kwak NJ, Lee KH, Rha S, Kim YH, Cho YY, Yang KH, Kim K, Lim Y."
"map04010","The role of mitogen-activated protein kinase pathways in Alzheimer's disease.","Zhu X, Lee HG, Raina AK, Perry G, Smith MA."
"map04010","Transcriptional regulation by the MAP kinase signaling cascades.","Yang SH, Sharrocks AD, Whitmarsh AJ."
"map04010","Neuronal p38 MAPK signalling: an emerging regulator of cell fate and function in the nervous system.","Takeda K, Ichijo H"
"map04010","Signalling for survival and death in neurones: the role of stress-activated kinases, JNK and p38.","Harper SJ, LoGrasso P."
"map04010","Trk receptors: roles in neuronal signal transduction.","Huang EJ, Reichardt LF."
"map04010","MAPK pathways in radiation responses.","Dent P, Yacoub A, Fisher PB, Hagan MP, Grant S."
"map04010","Docking interactions in the mitogen-activated protein kinase cascades.","Tanoue T, Nishida E."
"map04010","MAP kinases.","Chen Z, Gibson TB, Robinson F, Silvestro L, Pearson G, Xu B, Wright A, Vanderbilt C, Cobb MH."
"ko04610","The role of coagulation/fibrinolysis during Streptococcus pyogenes infection.","Loof TG, Deicke C, Medina E"
"ko04610","Complement in immune and inflammatory disorders: therapeutic interventions.","Ricklin D, Lambris JD"
"ko04610","Complement in immune and inflammatory disorders: pathophysiological mechanisms.","Ricklin D, Lambris JD"
"ko04610","Regulation of cell signalling by uPAR.","Smith HW, Marshall CJ"
"ko04610","Functional role of protease activated receptors in vascular biology.","Alberelli MA, De Candia E"
"ko04610","Protein C and acute inflammation: a clinical and biological perspective.","Christiaans SC, Wagener BM, Esmon CT, Pittet JF"
"ko04610","Coagulation and anticoagulation in idiopathic pulmonary fibrosis.","Crooks MG, Hart SP"
"ko04610","Serpins in thrombosis, hemostasis and fibrinolysis.","Rau JC, Beaulieu LM, Huntington JA, Church FC"
"ko04610","The Kallikrein-Kinin system.","Hillmeister P, Persson PB"
"ko04610","Complement, thrombotic microangiopathy and disseminated intravascular coagulation.","Kurosawa S, Stearns-Kurosawa DJ"
"ko04610","Interactions between coagulation and complement--their role in inflammation.","Oikonomopoulou K, Ricklin D, Ward PA, Lambris JD"
"ko04610","Complement System Part I - Molecular Mechanisms of Activation and Regulation.","Merle NS, Church SE, Fremeaux-Bacchi V, Roumenina LT"
"ko04610","Molecules Great and Small: The Complement System.","Mathern DR, Heeger PS"
"ko04610","Complement activation, regulation, and molecular basis for complement-related diseases.","Bajic G, Degn SE, Thiel S, Andersen GR"
"map04610","The role of coagulation/fibrinolysis during Streptococcus pyogenes infection.","Loof TG, Deicke C, Medina E"
"map04610","Complement in immune and inflammatory disorders: therapeutic interventions.","Ricklin D, Lambris JD"
"map04610","Complement in immune and inflammatory disorders: pathophysiological mechanisms.","Ricklin D, Lambris JD"
"map04610","Regulation of cell signalling by uPAR.","Smith HW, Marshall CJ"
"map04610","Functional role of protease activated receptors in vascular biology.","Alberelli MA, De Candia E"
"map04610","Protein C and acute inflammation: a clinical and biological perspective.","Christiaans SC, Wagener BM, Esmon CT, Pittet JF"
"map04610","Coagulation and anticoagulation in idiopathic pulmonary fibrosis.","Crooks MG, Hart SP"
"map04610","Serpins in thrombosis, hemostasis and fibrinolysis.","Rau JC, Beaulieu LM, Huntington JA, Church FC"
"map04610","The Kallikrein-Kinin system.","Hillmeister P, Persson PB"
"map04610","Complement, thrombotic microangiopathy and disseminated intravascular coagulation.","Kurosawa S, Stearns-Kurosawa DJ"
"map04610","Interactions between coagulation and complement--their role in inflammation.","Oikonomopoulou K, Ricklin D, Ward PA, Lambris JD"
"map04610","Complement System Part I - Molecular Mechanisms of Activation and Regulation.","Merle NS, Church SE, Fremeaux-Bacchi V, Roumenina LT"
"map04610","Molecules Great and Small: The Complement System.","Mathern DR, Heeger PS"
"map04610","Complement activation, regulation, and molecular basis for complement-related diseases.","Bajic G, Degn SE, Thiel S, Andersen GR"
"ko04610","The role of coagulation/fibrinolysis during Streptococcus pyogenes infection.","Loof TG, Deicke C, Medina E"
"ko04610","Complement in immune and inflammatory disorders: therapeutic interventions.","Ricklin D, Lambris JD"
"ko04610","Complement in immune and inflammatory disorders: pathophysiological mechanisms.","Ricklin D, Lambris JD"
"ko04610","Regulation of cell signalling by uPAR.","Smith HW, Marshall CJ"
"ko04610","Functional role of protease activated receptors in vascular biology.","Alberelli MA, De Candia E"
"ko04610","Protein C and acute inflammation: a clinical and biological perspective.","Christiaans SC, Wagener BM, Esmon CT, Pittet JF"
"ko04610","Coagulation and anticoagulation in idiopathic pulmonary fibrosis.","Crooks MG, Hart SP"
"ko04610","Serpins in thrombosis, hemostasis and fibrinolysis.","Rau JC, Beaulieu LM, Huntington JA, Church FC"
"ko04610","The Kallikrein-Kinin system.","Hillmeister P, Persson PB"
"ko04610","Complement, thrombotic microangiopathy and disseminated intravascular coagulation.","Kurosawa S, Stearns-Kurosawa DJ"
"ko04610","Interactions between coagulation and complement--their role in inflammation.","Oikonomopoulou K, Ricklin D, Ward PA, Lambris JD"
"ko04610","Complement System Part I - Molecular Mechanisms of Activation and Regulation.","Merle NS, Church SE, Fremeaux-Bacchi V, Roumenina LT"
"ko04610","Molecules Great and Small: The Complement System.","Mathern DR, Heeger PS"
"ko04610","Complement activation, regulation, and molecular basis for complement-related diseases.","Bajic G, Degn SE, Thiel S, Andersen GR"
"map04610","The role of coagulation/fibrinolysis during Streptococcus pyogenes infection.","Loof TG, Deicke C, Medina E"
"map04610","Complement in immune and inflammatory disorders: therapeutic interventions.","Ricklin D, Lambris JD"
