"uniprot","kegg","ko","desc","Iteration_query-def","Iteration_query-len","Hit_len","Hsp_evalue","Hsp_identity","Hsp_gaps","Hsp_align-len"
"Q61789","mmu:16774","K06240","laminin, alpha 3/5","KXJ04345.1","316","3330","2.54107e-11","39","24","113"
"Q61789","mmu:16774","K06240","laminin, alpha 3/5","KXJ04345.1","316","3330","1.39463e-10","38","47","140"
"Q61789","mmu:16774","K06240","laminin, alpha 3/5","KXJ04345.1","316","3330","2.45265e-07","31","8","95"
"Q61789","mmu:16774","K06240","laminin, alpha 3/5","KXJ04345.1","316","3330","1.95404e-11","36","7","100"
"P11046","dme:Dmel_CG7123","K05636","laminin, beta 1","KXJ04345.1","316","1788","1.85637e-14","37","5","93"
"P11046","dme:Dmel_CG7123","K05636","laminin, beta 1","KXJ04345.1","316","1788","5.54833e-06","34","15","102"
"P11046","dme:Dmel_CG7123","K05636","laminin, beta 1","KXJ04345.1","316","1788","1.95312e-10","33","3","94"
"P11046","dme:Dmel_CG7123","K05636","laminin, beta 1","KXJ04345.1","316","1788","1.07201e-09","34","4","91"
"P11046","dme:Dmel_CG7123","K05636","laminin, beta 1","KXJ04345.1","316","1788","8.79776e-08","35","6","94"
"P11046","dme:Dmel_CG7123","K05636","laminin, beta 1","KXJ04345.1","316","1788","4.6697e-20","47","2","92"
"Q16787","hsa:3909","K06240","laminin, alpha 3/5","KXJ04345.1","316","3333","4.78361e-19","43","1","93"
"Q16787","hsa:3909","K06240","laminin, alpha 3/5","KXJ04345.1","316","3333","2.03875e-07","33","6","90"
"Q16787","hsa:3909","K06240","laminin, alpha 3/5","KXJ04345.1","316","3333","3.01795e-12","38","7","100"
"Q16787","hsa:3909","K06240","laminin, alpha 3/5","KXJ04345.1","316","3333","1.13325e-11","41","47","140"
"Q16787","hsa:3909","K06240","laminin, alpha 3/5","KXJ04345.1","316","3333","7.40988e-11","37","24","113"
"P07942","hsa:3912","K05636","laminin, beta 1","KXJ04345.1","316","1786","1.64475e-06","35","3","93"
"P07942","hsa:3912","K05636","laminin, beta 1","KXJ04345.1","316","1786","2.95875e-08","31","3","83"
"P07942","hsa:3912","K05636","laminin, beta 1","KXJ04345.1","316","1786","5.67825e-08","35","16","103"
"P07942","hsa:3912","K05636","laminin, beta 1","KXJ04345.1","316","1786","8.22917e-18","42","2","94"
"P07942","hsa:3912","K05636","laminin, beta 1","KXJ04345.1","316","1786","8.4067e-13","37","6","92"
"P07942","hsa:3912","K05636","laminin, beta 1","KXJ04345.1","316","1786","2.49926e-09","32","4","90"
"P55268","hsa:3913","K06243","laminin, beta 2","KXJ04345.1","316","1798","9.02467e-06","35","16","104"
"P55268","hsa:3913","K06243","laminin, beta 2","KXJ04345.1","316","1798","6.78684e-10","30","4","90"
"P55268","hsa:3913","K06243","laminin, beta 2","KXJ04345.1","316","1798","7.77724e-10","33","6","91"
"P55268","hsa:3913","K06243","laminin, beta 2","KXJ04345.1","316","1798","3.0068e-06","26","3","79"
"P55268","hsa:3913","K06243","laminin, beta 2","KXJ04345.1","316","1798","6.2196e-17","40","2","95"
"P55268","hsa:3913","K06243","laminin, beta 2","KXJ04345.1","316","1798","6.83052e-11","36","3","93"
"Q2QI47","mmu:22283","K19636","usherin","KXJ04345.1","316","5193","3.83275e-12","37","8","98"
"Q2QI47","mmu:22283","K19636","usherin","KXJ04345.1","316","5193","6.71672e-17","42","3","90"
"Q2QI47","mmu:22283","K19636","usherin","KXJ04345.1","316","5193","8.16033e-07","32","5","90"
"Q2QI47","mmu:22283","K19636","usherin","KXJ04345.1","316","5193","5.40474e-11","33","7","95"
"Q2QI47","mmu:22283","K19636","usherin","KXJ04345.1","316","5193","2.34159e-08","35","8","98"
"Q2QI47","mmu:22283","K19636","usherin","KXJ04345.1","316","5193","6.13521e-08","33","6","94"
"Q61292","mmu:16779","K06243","laminin, beta 2","KXJ04345.1","316","1799","1.00499e-08","33","3","93"
"Q61292","mmu:16779","K06243","laminin, beta 2","KXJ04345.1","316","1799","1.48316e-08","29","3","79"
"Q61292","mmu:16779","K06243","laminin, beta 2","KXJ04345.1","316","1799","1.12557e-16","39","2","95"
"Q61292","mmu:16779","K06243","laminin, beta 2","KXJ04345.1","316","1799","7.40806e-10","33","6","91"
"Q61292","mmu:16779","K06243","laminin, beta 2","KXJ04345.1","316","1799","3.47996e-09","29","4","90"
"Q00174","dme:Dmel_CG10236","K06240","laminin, alpha 3/5","KXJ04345.1","316","3712","6.3865e-16","38","1","91"
"Q00174","dme:Dmel_CG10236","K06240","laminin, alpha 3/5","KXJ04345.1","316","3712","7.24717e-16","36","0","91"
"Q00174","dme:Dmel_CG10236","K06240","laminin, alpha 3/5","KXJ04345.1","316","3712","7.46172e-16","41","5","98"
"Q00174","dme:Dmel_CG10236","K06240","laminin, alpha 3/5","KXJ04345.1","316","3712","9.15237e-16","41","2","90"
"Q00174","dme:Dmel_CG10236","K06240","laminin, alpha 3/5","KXJ04345.1","316","3712","4.49077e-13","38","6","101"
"Q00174","dme:Dmel_CG10236","K06240","laminin, alpha 3/5","KXJ04345.1","316","3712","7.94466e-11","31","1","79"
"Q00174","dme:Dmel_CG10236","K06240","laminin, alpha 3/5","KXJ04345.1","316","3712","1.0366e-09","33","3","84"
"Q00174","dme:Dmel_CG10236","K06240","laminin, alpha 3/5","KXJ04345.1","316","3712","3.24684e-08","33","6","91"
"Q00174","dme:Dmel_CG10236","K06240","laminin, alpha 3/5","KXJ04345.1","316","3712","3.3757e-08","32","4","90"
"Q00174","dme:Dmel_CG10236","K06240","laminin, alpha 3/5","KXJ04345.1","316","3712","1.51032e-07","33","5","95"
"Q00174","dme:Dmel_CG10236","K06240","laminin, alpha 3/5","KXJ04345.1","316","3712","1.8582e-06","29","6","82"
NA,NA,NA,NA,"KXJ04348.1",NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,"KXJ04356.1",NA,NA,NA,NA,NA,NA
"Q8TCJ2","hsa:201595","K07151","dolichyl-diphosphooligosaccharide---protein glycosyltransferase [EC:2.4.99.18]","KXJ04380.1","148","826","7.6775e-27","43","0","48"
"E2RG47","cfa:485628","K07151","dolichyl-diphosphooligosaccharide---protein glycosyltransferase [EC:2.4.99.18]","KXJ04380.1","148","826","7.6775e-27","43","0","48"
"Q3TDQ1","mmu:68292","K07151","dolichyl-diphosphooligosaccharide---protein glycosyltransferase [EC:2.4.99.18]","KXJ04380.1","148","823","5.99827e-25","41","0","48"
"P46975","cel:CELE_T12A2.2","K07151","dolichyl-diphosphooligosaccharide---protein glycosyltransferase [EC:2.4.99.18]","KXJ04380.1","148","757","7.28041e-18","31","0","48"
"P46978","mmu:16430","K07151","dolichyl-diphosphooligosaccharide---protein glycosyltransferase [EC:2.4.99.18]","KXJ04380.1","148","705","3.67309e-17","34","1","49"
"Q5RCE2","pon:100174363","K07151","dolichyl-diphosphooligosaccharide---protein glycosyltransferase [EC:2.4.99.18]","KXJ04380.1","148","705","9.55057e-17","35","7","52"
"Q2KJI2","bta:507815","K07151","dolichyl-diphosphooligosaccharide---protein glycosyltransferase [EC:2.4.99.18]","KXJ04380.1","148","705","1.58583e-16","35","7","52"
"F1PJP5","cfa:489300","K07151","dolichyl-diphosphooligosaccharide---protein glycosyltransferase [EC:2.4.99.18]","KXJ04380.1","148","705","1.58583e-16","35","7","52"
"O94335","spo:SPBC1271.02","K07151","dolichyl-diphosphooligosaccharide---protein glycosyltransferase [EC:2.4.99.18]","KXJ04380.1","148","752","1.43984e-13","25","0","45"
"P39007","sce:YGL022W","K07151","dolichyl-diphosphooligosaccharide---protein glycosyltransferase [EC:2.4.99.18]","KXJ04380.1","148","718","5.32876e-13","26","0","43"
NA,NA,NA,NA,"KXJ04398.1",NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,"KXJ04405.1",NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,"KXJ04415.1",NA,NA,NA,NA,NA,NA
"D3YXG0","mmu:545370","K17341","hemicentin","KXJ04416.1","991","5634","8.31922e-13","62","18","232"
"D3YXG0","mmu:545370","K17341","hemicentin","KXJ04416.1","991","5634","1.58584e-12","65","15","238"
"D3YXG0","mmu:545370","K17341","hemicentin","KXJ04416.1","991","5634","4.90874e-13","55","7","202"
"D3YXG0","mmu:545370","K17341","hemicentin","KXJ04416.1","991","5634","6.50808e-13","65","16","231"
"D3YXG0","mmu:545370","K17341","hemicentin","KXJ04416.1","991","5634","1.87683e-10","69","35","244"
"D3YXG0","mmu:545370","K17341","hemicentin","KXJ04416.1","991","5634","2.10974e-10","63","13","231"
"D3YXG0","mmu:545370","K17341","hemicentin","KXJ04416.1","991","5634","2.76326e-10","57","10","200"
"D3YXG0","mmu:545370","K17341","hemicentin","KXJ04416.1","991","5634","3.49092e-10","69","30","253"
"D3YXG0","mmu:545370","K17341","hemicentin","KXJ04416.1","991","5634","6.97115e-10","66","31","238"
"D3YXG0","mmu:545370","K17341","hemicentin","KXJ04416.1","991","5634","5.56842e-09","64","31","241"
"D3YXG0","mmu:545370","K17341","hemicentin","KXJ04416.1","991","5634","8.86066e-09","62","27","238"
"D3YXG0","mmu:545370","K17341","hemicentin","KXJ04416.1","991","5634","2.86074e-12","61","14","229"
"D3YXG0","mmu:545370","K17341","hemicentin","KXJ04416.1","991","5634","2.1354e-11","62","13","224"
"D3YXG0","mmu:545370","K17341","hemicentin","KXJ04416.1","991","5634","2.46758e-11","66","21","241"
"D3YXG0","mmu:545370","K17341","hemicentin","KXJ04416.1","991","5634","5.56097e-11","64","21","236"
"D3YXG0","mmu:545370","K17341","hemicentin","KXJ04416.1","991","5634","1.0266e-10","68","24","252"
"D3YXG0","mmu:545370","K17341","hemicentin","KXJ04416.1","991","5634","1.26295e-10","95","72","386"
"D3YXG0","mmu:545370","K17341","hemicentin","KXJ04416.1","991","5634","6.74971e-25","69","7","239"
"D3YXG0","mmu:545370","K17341","hemicentin","KXJ04416.1","991","5634","7.28181e-20","65","16","212"
"D3YXG0","mmu:545370","K17341","hemicentin","KXJ04416.1","991","5634","1.60135e-18","76","17","234"
"D3YXG0","mmu:545370","K17341","hemicentin","KXJ04416.1","991","5634","4.7313e-18","57","4","211"
"D3YXG0","mmu:545370","K17341","hemicentin","KXJ04416.1","991","5634","6.13039e-18","68","23","233"
"D3YXG0","mmu:545370","K17341","hemicentin","KXJ04416.1","991","5634","1.35778e-17","92","46","345"
"D3YXG0","mmu:545370","K17341","hemicentin","KXJ04416.1","991","5634","6.95495e-16","71","22","251"
"D3YXG0","mmu:545370","K17341","hemicentin","KXJ04416.1","991","5634","8.28225e-16","69","12","254"
"D3YXG0","mmu:545370","K17341","hemicentin","KXJ04416.1","991","5634","6.35374e-15","72","22","250"
"D3YXG0","mmu:545370","K17341","hemicentin","KXJ04416.1","991","5634","9.9536e-15","71","16","233"
"D3YXG0","mmu:545370","K17341","hemicentin","KXJ04416.1","991","5634","1.38396e-14","68","7","240"
"D3YXG0","mmu:545370","K17341","hemicentin","KXJ04416.1","991","5634","3.89007e-14","74","22","253"
"D3YXG0","mmu:545370","K17341","hemicentin","KXJ04416.1","991","5634","3.96182e-14","72","27","262"
"D3YXG0","mmu:545370","K17341","hemicentin","KXJ04416.1","991","5634","7.717e-14","69","19","253"
"D3YXG0","mmu:545370","K17341","hemicentin","KXJ04416.1","991","5634","1.58652e-13","63","18","235"
"D3YXG0","mmu:545370","K17341","hemicentin","KXJ04416.1","991","5634","2.02924e-13","68","13","244"
"D3YXG0","mmu:545370","K17341","hemicentin","KXJ04416.1","991","5634","4.86427e-13","66","19","250"
"P35331","gga:396202","K06756","neuronal cell adhesion molecule","KXJ04416.1","991","1284","1.00332e-24","71","10","244"
"P35331","gga:396202","K06756","neuronal cell adhesion molecule","KXJ04416.1","991","1284","7.49281e-10","59","26","268"
"O00533","hsa:10752","K06758","L1 cell adhesion molecule like protein","KXJ04416.1","991","1208","1.47733e-10","60","27","240"
"O00533","hsa:10752","K06758","L1 cell adhesion molecule like protein","KXJ04416.1","991","1208","1.07564e-24","81","29","260"
"O00533","hsa:10752","K06758","L1 cell adhesion molecule like protein","KXJ04416.1","991","1208","2.38182e-11","51","13","176"
"Q7Z5N4","hsa:221935","K16353","protein sidekick","KXJ04416.1","991","2213","2.8709e-24","85","19","249"
"A1KZ92","hsa:137902","K19511","peroxidase [EC:1.11.1.7]","KXJ04416.1","991","1463","2.57536e-16","84","22","296"
"A1KZ92","hsa:137902","K19511","peroxidase [EC:1.11.1.7]","KXJ04416.1","991","1463","6.17623e-12","60","18","217"
"A1KZ92","hsa:137902","K19511","peroxidase [EC:1.11.1.7]","KXJ04416.1","991","1463","1.98048e-23","74","10","226"
"Q96RW7","hsa:83872","K17341","hemicentin","KXJ04416.1","991","5635","4.62919e-21","65","6","240"
"Q96RW7","hsa:83872","K17341","hemicentin","KXJ04416.1","991","5635","3.30309e-20","74","16","247"
"Q96RW7","hsa:83872","K17341","hemicentin","KXJ04416.1","991","5635","2.81852e-23","71","7","239"
"Q96RW7","hsa:83872","K17341","hemicentin","KXJ04416.1","991","5635","2.69548e-21","75","23","233"
"Q96RW7","hsa:83872","K17341","hemicentin","KXJ04416.1","991","5635","1.23792e-17","78","14","249"
"Q96RW7","hsa:83872","K17341","hemicentin","KXJ04416.1","991","5635","6.23839e-15","68","20","251"
"Q96RW7","hsa:83872","K17341","hemicentin","KXJ04416.1","991","5635","1.93179e-19","77","24","252"
"Q96RW7","hsa:83872","K17341","hemicentin","KXJ04416.1","991","5635","1.08505e-18","76","17","234"
"Q96RW7","hsa:83872","K17341","hemicentin","KXJ04416.1","991","5635","6.03105e-14","69","18","258"
"Q96RW7","hsa:83872","K17341","hemicentin","KXJ04416.1","991","5635","6.60768e-14","74","24","286"
"Q96RW7","hsa:83872","K17341","hemicentin","KXJ04416.1","991","5635","1.35871e-13","69","16","252"
"Q96RW7","hsa:83872","K17341","hemicentin","KXJ04416.1","991","5635","6.50812e-13","70","18","236"
"Q96RW7","hsa:83872","K17341","hemicentin","KXJ04416.1","991","5635","3.58884e-12","72","18","247"
"Q96RW7","hsa:83872","K17341","hemicentin","KXJ04416.1","991","5635","3.68781e-12","65","17","229"
"Q96RW7","hsa:83872","K17341","hemicentin","KXJ04416.1","991","5635","3.89399e-12","60","12","229"
"Q96RW7","hsa:83872","K17341","hemicentin","KXJ04416.1","991","5635","6.35221e-12","62","18","235"
"Q96RW7","hsa:83872","K17341","hemicentin","KXJ04416.1","991","5635","1.20801e-11","61","23","223"
"Q96RW7","hsa:83872","K17341","hemicentin","KXJ04416.1","991","5635","1.68814e-11","62","15","222"
"Q96RW7","hsa:83872","K17341","hemicentin","KXJ04416.1","991","5635","1.7662e-11","65","22","250"
"Q96RW7","hsa:83872","K17341","hemicentin","KXJ04416.1","991","5635","1.37136e-14","74","23","249"
"Q96RW7","hsa:83872","K17341","hemicentin","KXJ04416.1","991","5635","4.79984e-14","69","29","264"
"Q96RW7","hsa:83872","K17341","hemicentin","KXJ04416.1","991","5635","1.28591e-10","74","30","263"
"Q96RW7","hsa:83872","K17341","hemicentin","KXJ04416.1","991","5635","1.76225e-10","62","28","246"
"Q96RW7","hsa:83872","K17341","hemicentin","KXJ04416.1","991","5635","1.77818e-10","66","13","244"
"Q96RW7","hsa:83872","K17341","hemicentin","KXJ04416.1","991","5635","1.81048e-10","59","10","204"
"Q96RW7","hsa:83872","K17341","hemicentin","KXJ04416.1","991","5635","1.91093e-10","63","25","231"
"Q96RW7","hsa:83872","K17341","hemicentin","KXJ04416.1","991","5635","2.28768e-10","57","13","208"
"Q96RW7","hsa:83872","K17341","hemicentin","KXJ04416.1","991","5635","5.47057e-10","61","19","252"
"Q96RW7","hsa:83872","K17341","hemicentin","KXJ04416.1","991","5635","7.02468e-09","64","27","239"
"Q96RW7","hsa:83872","K17341","hemicentin","KXJ04416.1","991","5635","1.58256e-08","65","28","238"
"Q96RW7","hsa:83872","K17341","hemicentin","KXJ04416.1","991","5635","3.43577e-08","63","16","233"
"Q96RW7","hsa:83872","K17341","hemicentin","KXJ04416.1","991","5635","5.91219e-08","60","21","211"
"Q96RW7","hsa:83872","K17341","hemicentin","KXJ04416.1","991","5635","2.4234e-11","63","18","232"
"Q96RW7","hsa:83872","K17341","hemicentin","KXJ04416.1","991","5635","3.12085e-11","70","37","262"
"Q3UH53","mmu:330222","K16353","protein sidekick","KXJ04416.1","991","2193","4.46653e-23","87","25","252"
"Q3UH53","mmu:330222","K16353","protein sidekick","KXJ04416.1","991","2193","5.08197e-15","58","15","215"
NA,NA,NA,NA,"KXJ04452.1",NA,NA,NA,NA,NA,NA
"Q8WZ42","hsa:7273","K12567","titin [EC:2.7.11.1]","KXJ04478.1","984","34350","1.3636e-07","34","6","94"
"Q8WZ42","hsa:7273","K12567","titin [EC:2.7.11.1]","KXJ04478.1","984","34350","3.74944e-07","34","7","91"
"Q8WZ42","hsa:7273","K12567","titin [EC:2.7.11.1]","KXJ04478.1","984","34350","1.0287e-06","34","8","97"
"Q8WZ42","hsa:7273","K12567","titin [EC:2.7.11.1]","KXJ04478.1","984","34350","1.97838e-06","30","6","88"
"Q8WZ42","hsa:7273","K12567","titin [EC:2.7.11.1]","KXJ04478.1","984","34350","1.99593e-06","32","9","89"
"Q8WZ42","hsa:7273","K12567","titin [EC:2.7.11.1]","KXJ04478.1","984","34350","4.13335e-07","36","8","97"
"Q8WZ42","hsa:7273","K12567","titin [EC:2.7.11.1]","KXJ04478.1","984","34350","3.13081e-06","32","10","91"
"Q8WZ42","hsa:7273","K12567","titin [EC:2.7.11.1]","KXJ04478.1","984","34350","4.26308e-06","31","9","89"
"Q8WZ42","hsa:7273","K12567","titin [EC:2.7.11.1]","KXJ04478.1","984","34350","4.99618e-06","32","7","87"
"Q8WZ42","hsa:7273","K12567","titin [EC:2.7.11.1]","KXJ04478.1","984","34350","2.33976e-06","33","7","87"
NA,NA,NA,NA,"KXJ04487.1",NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,"KXJ04500.1",NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,"KXJ04518.1",NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,"KXJ04557.1",NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,"KXJ04583.1",NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,"KXJ04585.1",NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,"KXJ04597.1",NA,NA,NA,NA,NA,NA
"Q6GN42","xla:444429","K15377","solute carrier family 44 (choline transporter-like protein), member 2/4/5","KXJ04601.1","1026","707","3.31086e-15","33","0","44"
"Q7T2B0","dre:393385","K15377","solute carrier family 44 (choline transporter-like protein), member 2/4/5","KXJ04601.1","1026","723","6.12031e-14","31","0","44"
"Q91VA1","mmu:70129","K15377","solute carrier family 44 (choline transporter-like protein), member 2/4/5","KXJ04601.1","1026","707","8.48671e-14","30","0","43"
"Q6MG71","rno:294255","K15377","solute carrier family 44 (choline transporter-like protein), member 2/4/5","KXJ04601.1","1026","707","8.64285e-14","30","0","43"
"Q8BY89","mmu:68682","K15377","solute carrier family 44 (choline transporter-like protein), member 2/4/5","KXJ04601.1","1026","706","1.39992e-13","30","0","44"
"B4F795","rno:363024","K15377","solute carrier family 44 (choline transporter-like protein), member 2/4/5","KXJ04601.1","1026","705","1.5464e-13","30","0","44"
"A5D7H3","bta:617624","K15377","solute carrier family 44 (choline transporter-like protein), member 2/4/5","KXJ04601.1","1026","706","2.01507e-13","30","0","44"
