"","id","title","authors"
"20","ko05418","Role of endothelial shear stress in the natural history of coronary atherosclerosis and vascular remodeling: molecular, cellular, and vascular behavior.","Chatzizisis YS, Coskun AU, Jonas M, Edelman ER, Feldman CL, Stone PH"
"21","ko05418","Shear stress in atherosclerotic plaque determination.","Li X, Yang Q, Wang Z, Wei D"
"22","ko05418","Redox going with vascular shear stress.","Noguchi N, Jo H"
"23","ko05418","Rubbing salt into wounded endothelium: sodium potentiates proatherogenic effects of TNF-alpha under non-uniform shear stress.","Wild J, Soehnlein O, Dietel B, Urschel K, Garlichs CD, Cicha I"
"24","ko05418","Disturbed-flow-mediated vascular reactive oxygen species induce endothelial dysfunction.","Heo KS, Fujiwara K, Abe J"
"25","ko05418","Nrf2 as an Endothelial Mechanosensitive Transcription Factor: Going With the Flow.","McSweeney SR, Warabi E, Siow RC"
"26","ko05418","Flow shear stress and atherosclerosis: a matter of site specificity.","Nigro P, Abe J, Berk BC"
"27","map05418","PKCzeta decreases eNOS protein stability via inhibitory phosphorylation of ERK5.","Nigro P, Abe J, Woo CH, Satoh K, McClain C, O'Dell MR, Lee H, Lim JH, Li JD, Heo KS, Fujiwara K, Berk BC"
"28","map05418","alphavbeta3 Integrins Mediate Flow-Induced NF-kappaB Activation, Proinflammatory Gene Expression, and Early Atherogenic Inflammation.","Chen J, Green J, Yurdagul A Jr, Albert P, McInnis MC, Orr AW"
"29","map05418","Flow-dependent cellular mechanotransduction in atherosclerosis.","Conway DE, Schwartz MA"
"30","map05418","Localized tensional forces on PECAM-1 elicit a global mechanotransduction response via the integrin-RhoA pathway.","Collins C, Guilluy C, Welch C, O'Brien ET, Hahn K, Superfine R, Burridge K, Tzima E"
"31","map05418","Current concepts on the role of nitric oxide in portal hypertension.","Hu LS, George J, Wang JH"
"32","map05418","Mechanotransduction of shear in the endothelium: basic studies and clinical implications.","Johnson BD, Mather KJ, Wallace JP"
"33","map05418","Molecular biology of atherosclerosis.","Hopkins PN"
"34","map05418","Bone morphogenic protein 4 produced in endothelial cells by oscillatory shear stress induces monocyte adhesion by stimulating reactive oxygen species production from a nox1-based NADPH oxidase.","Sorescu GP, Song H, Tressel SL, Hwang J, Dikalov S, Smith DA, Boyd NL, Platt MO, Lassegue B, Griendling KK, Jo H"
"35","map05418","Endothelium microenvironment sensing leading to nitric oxide mediated vasodilation: a review of nervous and biomechanical signals.","Quillon A, Fromy B, Debret R"
"36","map05418","The effects of acute and chronic exercise on the vasculature.","Whyte JJ, Laughlin MH"
"37","map05418","KLF2-induced actin shear fibers control both alignment to flow and JNK signaling in vascular endothelium.","Boon RA, Leyen TA, Fontijn RD, Fledderus JO, Baggen JM, Volger OL, van Nieuw Amerongen GP, Horrevoets AJ"
"38","map05418","Mechanosensitive properties in the endothelium and their roles in the regulation of endothelial function.","Liu HB, Zhang J, Xin SY, Liu C, Wang CY, Zhao D, Zhang ZR"
"39","map05418","Shear stress-initiated signaling and its regulation of endothelial function.","Zhou J, Li YS, Chien S"
"40","map05418","Role of biomechanical forces in the natural history of coronary atherosclerosis.","Brown AJ, Teng Z, Evans PC, Gillard JH, Samady H, Bennett MR"
"41","map05418","Mechanoresponsive networks controlling vascular inflammation.","Bryan MT, Duckles H, Feng S, Hsiao ST, Kim HR, Serbanovic-Canic J, Evans PC"
"42","map05418","Key transcriptional regulators of the vasoprotective effects of shear stress.","Boon RA, Horrevoets AJ"
"43","map05418","Redox signaling in hypertension.","Paravicini TM, Touyz RM"
"44","map05418","Endothelial Mechanosignaling: Does One Sensor Fit All?","Givens C, Tzima E"
"45","map05418","Role of shear stress and stretch in vascular mechanobiology.","Lu D, Kassab GS"
"46","map05418","Role of endothelial shear stress in the natural history of coronary atherosclerosis and vascular remodeling: molecular, cellular, and vascular behavior.","Chatzizisis YS, Coskun AU, Jonas M, Edelman ER, Feldman CL, Stone PH"
"47","map05418","Shear stress in atherosclerotic plaque determination.","Li X, Yang Q, Wang Z, Wei D"
"48","map05418","Redox going with vascular shear stress.","Noguchi N, Jo H"
"49","map05418","Rubbing salt into wounded endothelium: sodium potentiates proatherogenic effects of TNF-alpha under non-uniform shear stress.","Wild J, Soehnlein O, Dietel B, Urschel K, Garlichs CD, Cicha I"
"50","map05418","Disturbed-flow-mediated vascular reactive oxygen species induce endothelial dysfunction.","Heo KS, Fujiwara K, Abe J"
"51","map05418","Nrf2 as an Endothelial Mechanosensitive Transcription Factor: Going With the Flow.","McSweeney SR, Warabi E, Siow RC"
"52","map05418","Flow shear stress and atherosclerosis: a matter of site specificity.","Nigro P, Abe J, Berk BC"
"53","ko05214","Pten signaling in gliomas.","Knobbe CB, Merlo A, Reifenberger G."
"54","ko05214","The molecular genetics of central nervous system tumors.","Ng HK, Lam PY."
"55","ko05214","Cell signaling by receptor tyrosine kinases.","Schlessinger J."
"56","ko05214","Molecular mechanisms in gliomagenesis.","Hulleman E, Helin K."
"57","ko05214","Mitogenic signaling cascades in glial tumors.","Kapoor GS, O'Rourke DM."
"58","ko05214","[Gliomas: Research and therapy] (In Japanese)","Tabuchi K (ed)."
"59","ko05214","Molecular biology of human gliomas.","Bansal K, Liang ML, Rutka JT."
"60","ko05214","Gliomagenesis: genetic alterations and mouse models.","Holland EC."
"61","ko05214","The molecular and genetic basis of neurological tumours.","Zhu Y, Parada LF."
"62","ko05214","Genetics of glioblastoma multiforme: mitogenic signaling and cell cycle pathways converge.","Soni D, King JA, Kaye AH, Hovens CM."
"63","map05214","Pten signaling in gliomas.","Knobbe CB, Merlo A, Reifenberger G."
"64","map05214","The molecular genetics of central nervous system tumors.","Ng HK, Lam PY."
"65","map05214","Cell signaling by receptor tyrosine kinases.","Schlessinger J."
"66","map05214","Molecular mechanisms in gliomagenesis.","Hulleman E, Helin K."
"67","map05214","Mitogenic signaling cascades in glial tumors.","Kapoor GS, O'Rourke DM."
"68","map05214","[Gliomas: Research and therapy] (In Japanese)","Tabuchi K (ed)."
"69","map05214","Molecular biology of human gliomas.","Bansal K, Liang ML, Rutka JT."
"70","map05214","Gliomagenesis: genetic alterations and mouse models.","Holland EC."
"71","map05214","The molecular and genetic basis of neurological tumours.","Zhu Y, Parada LF."
"72","map05214","Genetics of glioblastoma multiforme: mitogenic signaling and cell cycle pathways converge.","Soni D, King JA, Kaye AH, Hovens CM."
"73","ko05200","G-protein-coupled receptors and cancer.","Dorsam RT, Gutkind JS"
"74","ko05200","Novel insights into G protein and G protein-coupled receptor signaling in cancer.","O'Hayre M, Degese MS, Gutkind JS"
"75","ko05200","G protein-coupled receptors: novel targets for drug discovery in cancer.","Lappano R, Maggiolini M"
"76","ko05200","Gene amplification and protein expression of EGFR and HER2 by chromogenic in situ hybridisation and immunohistochemistry in atypical adenomatous hyperplasia and adenocarcinoma of the lung.","Awaya H, Takeshima Y, Furonaka O, Kohno N, Inai K."
"77","ko05200","Differential expression of growth factors in squamous cell carcinoma and precancerous lesions of the lung.","Piyathilake CJ, Frost AR, Manne U, Weiss H, Bell WC, Heimburger DC, Grizzle WE."
"78","ko05200","Molecular pathology of non-small-cell lung cancer.","Breuer RH, Postmus PE, Smit EF."
"79","ko05200","Cytogenetics and molecular genetics of lung cancer.","Mitsuuchi Y, Testa JR."
"80","ko05200","Cytogenetic and molecular aspects of lung cancer.","Panani AD, Roussos C."
"81","ko05200","Epidermal growth factor family of receptors in preneoplasia and lung cancer: perspectives for targeted therapies.","Hirsch FR, Scagliotti GV, Langer CJ, Varella-Garcia M, Franklin WA."
"82","ko05200","Promoter methylation and silencing of the retinoic acid receptor-beta gene in lung carcinomas.","Virmani AK, Rathi A, Zochbauer-Muller S, Sacchi N, Fukuyama Y, Bryant D, Maitra A, Heda S, Fong KM, Thunnissen F, Minna JD, Gazdar AF."
"83","ko05200","The promise of retinoids to fight against cancer.","Altucci L, Gronemeyer H."
"84","ko05200","Methylation of the tumor suppressor gene RASSF1A in human tumors.","Pfeifer GP, Dammann R."
"85","ko05200","K-ras mutations in non-small-cell lung carcinoma: a review.","Aviel-Ronen S, Blackhall FH, Shepherd FA, Tsao MS."
"86","ko05200","Genetic alterations responsible for metastatic phenotypes of lung cancer cells.","Yokota J, Nishioka M, Tani M, Kohno T."
"87","ko05200","Genetic alterations of multiple tumor suppressors and oncogenes in the carcinogenesis and progression of lung cancer.","Osada H, Takahashi T."
"88","ko05200","Expression of inhibitor of apoptosis proteins in small- and non-small-cell lung carcinoma cells.","Ekedahl J, Joseph B, Grigoriev MY, Muller M, Magnusson C, Lewensohn R, Zhivotovsky B."
"89","ko05200","The role of extracellular matrix in small-cell lung cancer.","Rintoul RC, Sethi T."
"90","ko05200","Tumor suppressor PTEN: modulator of cell signaling, growth, migration and apoptosis.","Yamada KM, Araki M."
"91","ko05200","Small cell lung cancer: the importance of the extracellular matrix.","Buttery RC, Rintoul RC, Sethi T."
"92","ko05200","A CDK-independent function of mammalian Cks1: targeting of SCF(Skp2) to the CDK inhibitor p27Kip1.","Spruck C, Strohmaier H, Watson M, Smith AP, Ryan A, Krek TW, Reed SI."
"93","ko05200","Transcriptional regulation and transformation by Myc proteins.","Adhikary S, Eilers M."
"94","ko05200","Upregulation of Bcl-2 is involved in the mediation of chemotherapy resistance in human small cell lung cancer cell lines.","Sartorius UA, Krammer PH."
"95","ko05200","Apoptosis and lung cancer: a review.","Shivapurkar N, Reddy J, Chaudhary PM, Gazdar AF."
"96","ko05200","Molecular biology of lung cancer.","Kaye FJ."
"97","ko05200","Dissecting the genetic alterations involved in lung carcinogenesis.","Sanchez-Cespedes M."
"98","ko05200","Akt: versatile mediator of cell survival and beyond.","Kim D, Chung J."
"99","ko05200","Amplification and overexpression of HER-2/neu (c-erbB2) in endometrial cancers: correlation with overall survival.","Saffari B, Jones LA, el-Naggar A, Felix JC, George J, Press MF."
"100","ko05200","Her-2/neu overexpression and amplification in uterine papillary serous carcinoma.","Slomovitz BM, Broaddus RR, Burke TW, Sneige N, Soliman PT, Wu W, Sun CC, Munsell MF, Gershenson DM, Lu KH."
"101","ko05200","Molecular pathology of endometrial hyperplasia and carcinoma.","Matias-Guiu X, Catasus L, Bussaglia E, Lagarda H, Garcia A, Pons C, Munoz J, Arguelles R, Machin P, Prat J."
"102","ko05200","Molecular and pathologic aspects of endometrial carcinogenesis.","Hecht JL, Mutter GL."
"103","ko05200","Early endometrial carcinoma: clinicopathology, hormonal aspects, molecular genetics, diagnosis, and treatment.","Shiozawa T, Konishi I."
"104","ko05200","Molecular genetic pathways in various types of endometrial carcinoma: from a phenotypical to a molecular-based classification.","Lax SF."
"105","ko05200","Endometrial cancer.","Ryan AJ, Susil B, Jobling TW, Oehler MK."
"106","ko05200","The multifaceted roles of glycogen synthase kinase 3beta in cellular signaling.","Grimes CA, Jope RS."
"107","ko05200","Effects of human and rat glutathione S-transferases on the covalent DNA binding of the N-acetoxy derivatives of heterocyclic amine carcinogens in vitro: a possible mechanism of organ specificity in their carcinogenesis.","Lin D, Meyer DJ, Ketterer B, Lang NP, Kadlubar FF."
"108","ko05200","5alpha-reductase activity in the prostate.","Steers WD."
"109","ko05200","Role of p27 in prostate carcinogenesis.","Macri E, Loda M."
"110","ko05200","Glucocorticoids can promote androgen-independent growth of prostate cancer cells through a mutated androgen receptor.","Zhao XY, Malloy PJ, Krishnan AV, Swami S, Navone NM, Peehl DM, Feldman D."
"111","ko05200","Androgen receptor gene and hormonal therapy failure of prostate cancer.","Koivisto P, Kolmer M, Visakorpi T, Kallioniemi OP."
"112","ko05200","Androgen receptor in prostate cancer.","Heinlein CA, Chang C."
"113","ko05200","The development of androgen-independent prostate cancer.","Feldman BJ, Feldman D."
"114","ko05200","Mechanisms underlying the development of androgen-independent prostate cancer.","Pienta KJ, Bradley D."
"115","ko05200","The emerging role of the PI3-K-Akt pathway in prostate cancer progression.","Li L, Ittmann MM, Ayala G, Tsai MJ, Amato RJ, Wheeler TM, Miles BJ, Kadmon D, Thompson TC."
"116","ko05200","Prostate cancer.","Nelson WG, De Marzo AM, Isaacs WB."
"117","ko05200","Molecular pathways in bladder cancer.","Williams SG, Stein JP."
"118","ko05200","The Ras-MAPK signal transduction pathway, cancer and chromatin remodeling.","Dunn KL, Espino PS, Drobic B, He S, Davie JR."
"119","ko05200","Genetic alterations in bladder cancer and their clinical applications in molecular tumor staging.","Sugano K, Kakizoe T."
"120","ko05200","Novel approaches with targeted therapies in bladder cancer. Therapy of bladder cancer by blockade of the epidermal growth factor receptor family.","Bellmunt J, Hussain M, Dinney CP."
"121","ko05200","Thymidine phosphorylase induces carcinoma cell oxidative stress and promotes secretion of angiogenic factors.","Brown NS, Jones A, Fujiyama C, Harris AL, Bicknell R."
"122","ko05200","Urothelial tumorigenesis: a tale of divergent pathways.","Wu XR."
"123","ko05200","Mechanisms of Disease: genetic and epigenetic alterations that drive bladder cancer.","Wolff EM, Liang G, Jones PA."
"124","ko05200","Molecular pathways in invasive bladder cancer: new insights into mechanisms, progression, and target identification.","Mitra AP, Datar RH, Cote RJ."
"125","ko05200","Understanding familial and non-familial renal cell cancer.","Bodmer D, van den Hurk W, van Groningen JJ, Eleveld MJ, Martens GJ, Weterman MA, van Kessel AG."
"126","ko05200","Mechanisms of disease: hereditary leiomyomatosis and renal cell cancer--a distinct form of hereditary kidney cancer.","Sudarshan S, Pinto PA, Neckers L, Linehan WM."
"127","ko05200","HIF and fumarate hydratase in renal cancer.","Sudarshan S, Linehan WM, Neckers L."
"128","ko05200","Role of VHL gene mutation in human cancer.","Kim WY, Kaelin WG."
"129","ko05200","Met, metastasis, motility and more.","Birchmeier C, Birchmeier W, Gherardi E, Vande Woude GF."
"130","ko05200","The genetic basis of cancer of the kidney.","Linehan WM, Walther MM, Zbar B."
"131","ko05200","Searching for the hereditary causes of renal-cell carcinoma.","Pavlovich CP, Schmidt LS."
"132","ko05200","Renal-cell carcinoma.","Cohen HT, McGovern FJ."
"133","ko05200","Autocrine and paracrine regulation by cytokines and growth factors in melanoma.","Lazar-Molnar E, Hegyesi H, Toth S, Falus A."
"134","ko05200","The TP53 tumor suppressor gene and melanoma tumorigenesis: is there a relationship?","Hussein MR."
"135","ko05200","NRAS and BRAF mutations arise early during melanoma pathogenesis and are preserved throughout tumor progression.","Omholt K, Platz A, Kanter L, Ringborg U, Hansson J."
"136","ko05200","Cutaneous melanoma.","Thompson JF, Scolyer RA, Kefford RF."
"137","ko05200","Role of cadherins and matrixins in melanoma.","Gruss C, Herlyn M."
"138","ko05200","Genetic interaction between NRAS and BRAF mutations and PTEN/MMAC1 inactivation in melanoma.","Tsao H, Goel V, Wu H, Yang G, Haluska FG."
"139","ko05200","MITF: master regulator of melanocyte development and melanoma oncogene.","Levy C, Khaled M, Fisher DE."
"140","ko05200","Integrative genomic analyses identify MITF as a lineage survival oncogene amplified in malignant melanoma.","Garraway LA, Widlund HR, Rubin MA, Getz G, Berger AJ, Ramaswamy S, Beroukhim R, Milner DA, Granter SR, Du J, Lee C, Wagner SN, Li C, Golub TR, Rimm DL, Meyerson ML, Fisher DE, Sellers WR."
"141","ko05200","Cancer biology: the weakest link?","Merlino G."
"142","ko05200","Melanoma genetics and the development of rational therapeutics.","Chudnovsky Y, Khavari PA, Adams AE."
"143","ko05200","Genetic alterations in melanocytic tumors.","Takata M, Saida T."
"144","ko05200","The genetics of malignant melanoma: lessons from mouse and man.","Chin L."
"145","ko05200","Melanoma.","Miller AJ, Mihm MC Jr."
"146","ko05200","Hedgehog signalling in cancer.","Toftgard R."
"147","ko05200","Role of apoptosis in basal cell and squamous cell carcinoma formation.","Erb P, Ji J, Wernli M, Kump E, Glaser A, Buchner SA."
"148","ko05200","Immunohistochemical detection for nuclear beta-catenin in sporadic basal cell carcinoma.","Yamazaki F, Aragane Y, Kawada A, Tezuka T."
"149","ko05200","The hedgehog signaling network.","Cohen MM Jr."
"150","ko05200","Somatic mutations in the PTCH, SMOH, SUFUH and TP53 genes in sporadic basal cell carcinomas.","Reifenberger J, Wolter M, Knobbe CB, Kohler B, Schonicke A, Scharwachter C, Kumar K, Blaschke B, Ruzicka T, Reifenberger G."
"151","ko05200","Hedgehog signalling in cancer formation and maintenance.","Pasca di Magliano M, Hebrok M."
"152","ko05200","Nuclear beta-catenin in basal cell carcinoma correlates with increased proliferation.","Saldanha G, Ghura V, Potter L, Fletcher A."
"153","ko05200","The Hedgehog signalling pathway and cancer.","Saldanha G."
"154","ko05200","Basal-cell carcinoma.","Rubin AI, Chen EH, Ratner D."
"155","ko05200","Hedgehog signalling in skin development and cancer.","Athar M, Tang X, Lee JL, Kopelovich L, Kim AL."
"156","ko05200","The genetics of skin cancer.","Tsai KY, Tsao H."
"157","ko05200","Sonic hedgehog signaling in basal cell carcinomas.","Daya-Grosjean L, Couve-Privat S."
"158","ko05200","Basal cell carcinoma: a dermatopathological and molecular biological update.","Saldanha G, Fletcher A, Slater DN."
"159","ko05200","Molecular aetiology and pathogenesis of basal cell carcinoma.","Tilli CM, Van Steensel MA, Krekels GA, Neumann HA, Ramaekers FC."
"160","ko05200","PKB/Akt mediates cell-cycle progression by phosphorylation of p27(Kip1) at threonine 157 and modulation of its cellular localization.","Shin I, Yakes FM, Rojo F, Shin NY, Bakin AV, Baselga J, Arteaga CL."
"161","ko05200","Control of oncogenesis and cancer therapy resistance by the transcription factor NF-kappaB.","Baldwin AS."
"162","ko05200","p53 loss of function enhances genomic instability and accelerates clonal evolution of murine myeloid progenitors expressing the p(210)BCR-ABL tyrosine kinase.","Brusa G, Benvenuti M, Mazzacurati L, Mancini M, Pattacini L, Martinelli G, Barbieri E, Greenberger JS, Baccarani M, Santucci MA."
"163","ko05200","The t(3;21) fusion product, AML1/Evi-1, interacts with Smad3 and blocks transforming growth factor-beta-mediated growth inhibition of myeloid cells.","Kurokawa M, Mitani K, Imai Y, Ogawa S, Yazaki Y, Hirai H."
"164","ko05200","Role of transforming growth factor-beta in hematologic malignancies.","Dong M, Blobe GC."
"165","ko05200","Molecular mechanisms of leukemogenesis by AML1/EVI-1.","Mitani K."
"166","ko05200","The biology of chronic myeloid leukemia.","Faderl S, Talpaz M, Estrov Z, O'Brien S, Kurzrock R, Kantarjian HM."
"167","ko05200","The biology of CML blast crisis.","Calabretta B, Perrotti D."
"168","ko05200","The molecular biology of chronic myeloid leukemia.","Deininger MW, Goldman JM, Melo JV."
"169","ko05200","Mechanisms of BCR-ABL in the pathogenesis of chronic myelogenous leukaemia.","Ren R."
"170","ko05200","ATRA resolves the differentiation block in t(15;17) acute myeloid leukemia by restoring PU.1 expression.","Mueller BU, Pabst T, Fos J, Petkovic V, Fey MF, Asou N, Buergi U, Tenen DG."
"171","ko05200","The emerging role of Wnt signaling in the pathogenesis of acute myeloid leukemia.","Mikesch JH, Steffen B, Berdel WE, Serve H, Muller-Tidow C."
"172","ko05200","Suppression of myeloid transcription factors and induction of STAT response genes by AML-specific Flt3 mutations.","Mizuki M, Schwable J, Steur C, Choudhary C, Agrawal S, Sargin B, Steffen B, Matsumura I, Kanakura Y, Bohmer FD, Muller-Tidow C, Berdel WE, Serve H."
"173","ko05200","The role of the AML1 transcription factor in leukemogenesis.","Lorsbach RB, Downing JR."
"174","ko05200","Normal and oncogenic forms of the receptor tyrosine kinase kit.","Lennartsson J, Jelacic T, Linnekin D, Shivakrupa R."
"175","ko05200","Phosphoinositide 3-kinase/Akt signaling pathway and its therapeutical implications for human acute myeloid leukemia.","Martelli AM, Nyakern M, Tabellini G, Bortul R, Tazzari PL, Evangelisti C, Cocco L."
"176","ko05200","The role of FLT3 in haematopoietic malignancies.","Stirewalt DL, Radich JP."
"177","ko05200","Signal transduction of oncogenic Flt3.","Choudhary C, Muller-Tidow C, Berdel WE, Serve H."
"178","ko05200","Disruption of differentiation in human cancer: AML shows the way.","Tenen DG."
"179","ko05200","The molecular pathogenesis of acute myeloid leukemia.","Steffen B, Muller-Tidow C, Schwable J, Berdel WE, Serve H."
"180","ko05200","Cancer after nuclear fallout: lessons from the Chernobyl accident.","Williams D."
"181","ko05200","Thyroid cancer.","Gimm O."
"182","ko05200","Molecular pathology of well-differentiated thyroid carcinomas.","Sobrinho-Simoes M, Preto A, Rocha AS, Castro P, Maximo V, Fonseca E, Soares P."
"183","ko05200","Oncogenic rearrangements of the NTRK1/NGF receptor.","Pierotti MA, Greco A."
"184","ko05200","RET/PTC activation in papillary thyroid carcinoma: European Journal of Endocrinology Prize Lecture.","Santoro M, Melillo RM, Fusco A."
"185","ko05200","The paired box-8/peroxisome proliferator-activated receptor-gamma oncogene in thyroid tumorigenesis.","Reddi HV, McIver B, Grebe SK, Eberhardt NL"
"186","ko05200","Is BRAF the Achilles' Heel of thyroid cancer?","Chiloeches A, Marais R."
"187","ko05200","Pathogenetic mechanisms in thyroid follicular-cell neoplasia.","Kondo T, Ezzat S, Asa SL."
"188","ko05200","Pten signaling in gliomas.","Knobbe CB, Merlo A, Reifenberger G."
"189","ko05200","The molecular genetics of central nervous system tumors.","Ng HK, Lam PY."
"190","ko05200","Cell signaling by receptor tyrosine kinases.","Schlessinger J."
"191","ko05200","Molecular mechanisms in gliomagenesis.","Hulleman E, Helin K."
"192","ko05200","Mitogenic signaling cascades in glial tumors.","Kapoor GS, O'Rourke DM."
"193","ko05200","[Gliomas: Research and therapy] (In Japanese)","Tabuchi K (ed)."
"194","ko05200","Molecular biology of human gliomas.","Bansal K, Liang ML, Rutka JT."
"195","ko05200","Gliomagenesis: genetic alterations and mouse models.","Holland EC."
"196","ko05200","The molecular and genetic basis of neurological tumours.","Zhu Y, Parada LF."
"197","ko05200","Genetics of glioblastoma multiforme: mitogenic signaling and cell cycle pathways converge.","Soni D, King JA, Kaye AH, Hovens CM."
"198","ko05200","Functions of BRCA1 and BRCA2 in the biological response to DNA damage.","Venkitaraman AR."
"199","ko05200","BRCA2: breaks, mistakes and failed separations.","Rudkin TM, Foulkes WD."
"200","ko05200","Role of transforming growth factor Beta in human cancer.","Elliott RL, Blobe GC."
"201","ko05200","Genetic basis of pancreatic cancer.","Schmid RM."
"202","ko05200","Blockade of constitutively activated Janus kinase/signal transducer and activator of transcription-3 pathway inhibits growth of human pancreatic cancer.","Toyonaga T, Nakano K, Nagano M, Zhao G, Yamaguchi K, Kuroki S, Eguchi T, Chijiiwa K, Tsuneyoshi M, Tanaka M."
"203","ko05200","Stat3 activation regulates the expression of vascular endothelial growth factor and human pancreatic cancer angiogenesis and metastasis.","Wei D, Le X, Zheng L, Wang L, Frey JA, Gao AC, Peng Z, Huang S, Xiong HQ, Abbruzzese JL, Xie K."
"204","ko05200","Autocrine-mediated ErbB-2 kinase activation of STAT3 is required for growth factor independence of pancreatic cancer cell lines.","DeArmond D, Brattain MG, Jessup JM, Kreisberg J, Malik S, Zhao S, Freeman JW."
"205","ko05200","Signal transduction and oncogenesis by ErbB/HER receptors.","Marmor MD, Skaria KB, Yarden Y."
"206","ko05200","The ErbB receptors and their role in cancer progression.","Holbro T, Civenni G, Hynes NE."
"207","ko05200","Understanding Ras: 'it ain't over 'til it's over'.","Shields JM, Pruitt K, McFall A, Shaub A, Der CJ."
"208","ko05200","Genetics and biology of pancreatic ductal adenocarcinoma.","Hezel AF, Kimmelman AC, Stanger BZ, Bardeesy N, Depinho RA."
"209","ko05200","The genetics of pancreatic cancer.","Cowgill SM, Muscarella P."
"210","ko05200","The genetics of pancreatic adenocarcinoma: a roadmap for a mouse model.","Bardeesy N, Sharpless NE, DePinho RA, Merlino G."
"211","ko05200","Pancreatic cancer biology and genetics.","Bardeesy N, DePinho RA."
"212","ko05200","[Oncogenes and Tumor Suppressor Genes for Medical Oncologist] (In Japanese)","Niitsu Y, Yokota J (ed)."
"213","ko05200","Pancreatic cancer","Von Hoff D, Evans D, Hruban R (ed)."
"214","ko05200","What we could do now: molecular pathology of colorectal cancer.","Houlston RS."
"215","ko05200","Apoptosis and colorectal cancer.","Watson AJ."
"216","ko05200","An overview of apoptosis and the prevention of colorectal cancer.","Watson AJ."
"217","ko05200","TGF-beta and colorectal carcinogenesis.","Roman C, Saha D, Beauchamp R."
"218","ko05200","TGF-beta signaling in colon cancer cells.","Li F, Cao Y, Townsend CM Jr, Ko TC."
"219","ko05200","DNA mismatch repair and cancer.","Peltomaki P."
"220","ko05200","Role of the dependence receptor DCC in colorectal cancer pathogenesis.","Mehlen P, Fearon ER."
"221","ko05200","Netrin-1 and its receptors in tumorigenesis.","Arakawa H."
"222","ko05200","Blocking oncogenic Ras signaling for cancer therapy.","Adjei AA."
"223","ko05200","Murine models of colorectal cancer: studying the role of oncogenic K-ras.","Janssen KP."
"224","ko05200","The adenomatous polyposis coli (APC) tumor suppressor.","Polakis P."
"225","ko05200","The Wnt connection to tumorigenesis.","Behrens J, Lustig B."
"226","ko05200","The role of the Wnt signalling pathway in colorectal tumorigenesis.","Behrens J."
"227","ko05200","Cadherins and catenins: role in signal transduction and tumor progression.","Behrens J."
"228","ko05200","The significance of unstable chromosomes in colorectal cancer.","Rajagopalan H, Nowak MA, Vogelstein B, Lengauer C."
