"Factor","category","class","direction","ko"
"Vibrio_Vibrio_vs_NoVibrio","Genetic Information Processing"," Translation","Down",1
"Vibrio_Vibrio_vs_NoVibrio","Cellular Processes"," Transport and catabolism","Down",4
"Vibrio_Vibrio_vs_NoVibrio","Metabolism"," Xenobiotics biodegradation and metabolism","Down",9
"Vibrio_Vibrio_vs_NoVibrio","Metabolism"," Amino acid metabolism","Up",5
"Vibrio_Vibrio_vs_NoVibrio","Human Diseases"," Cancers: Overview","Up",14
"Vibrio_Vibrio_vs_NoVibrio","Human Diseases"," Cancers: Specific types","Up",17
"Vibrio_Vibrio_vs_NoVibrio","Metabolism"," Carbohydrate metabolism","Up",2
"Vibrio_Vibrio_vs_NoVibrio","Human Diseases"," Cardiovascular diseases","Up",1
"Vibrio_Vibrio_vs_NoVibrio","Cellular Processes"," Cell growth and death","Up",8
"Vibrio_Vibrio_vs_NoVibrio","Cellular Processes"," Cell motility","Up",1
"Vibrio_Vibrio_vs_NoVibrio","Cellular Processes"," Cellular community - eukaryotes","Up",6
"Vibrio_Vibrio_vs_NoVibrio","Organismal Systems"," Circulatory system","Up",5
"Vibrio_Vibrio_vs_NoVibrio","Organismal Systems"," Development","Up",6
"Vibrio_Vibrio_vs_NoVibrio","Organismal Systems"," Digestive system","Up",8
"Vibrio_Vibrio_vs_NoVibrio","Human Diseases"," Endocrine and metabolic diseases","Up",9
"Vibrio_Vibrio_vs_NoVibrio","Organismal Systems"," Endocrine system","Up",17
"Vibrio_Vibrio_vs_NoVibrio","Organismal Systems"," Environmental adaptation","Up",1
"Vibrio_Vibrio_vs_NoVibrio","Organismal Systems"," Excretory system","Up",1
"Vibrio_Vibrio_vs_NoVibrio","Genetic Information Processing"," Folding, sorting and degradation","Up",6
"Vibrio_Vibrio_vs_NoVibrio","Human Diseases"," Immune diseases","Up",1
"Vibrio_Vibrio_vs_NoVibrio","Organismal Systems"," Immune system","Up",33
"Vibrio_Vibrio_vs_NoVibrio","Human Diseases"," Infectious diseases: Bacterial","Up",10
"Vibrio_Vibrio_vs_NoVibrio","Human Diseases"," Infectious diseases: Parasitic","Up",6
"Vibrio_Vibrio_vs_NoVibrio","Human Diseases"," Infectious diseases: Viral","Up",21
"Vibrio_Vibrio_vs_NoVibrio","Metabolism"," Lipid metabolism","Up",9
"Vibrio_Vibrio_vs_NoVibrio","Metabolism"," Metabolism of cofactors and vitamins","Up",2
"Vibrio_Vibrio_vs_NoVibrio","Metabolism"," Metabolism of other amino acids","Up",1
"Vibrio_Vibrio_vs_NoVibrio","Metabolism"," Metabolism of terpenoids and polyketides","Up",1
"Vibrio_Vibrio_vs_NoVibrio","Organismal Systems"," Nervous system","Up",11
"Vibrio_Vibrio_vs_NoVibrio","Human Diseases"," Neurodegenerative diseases","Up",4
"Vibrio_Vibrio_vs_NoVibrio","Metabolism"," Nucleotide metabolism","Up",1
"Vibrio_Vibrio_vs_NoVibrio","Organismal Systems"," Sensory system","Up",1
"Vibrio_Vibrio_vs_NoVibrio","Environmental Information Processing"," Signal transduction","Up",36
"Vibrio_Vibrio_vs_NoVibrio","Environmental Information Processing"," Signaling molecules and interaction","Up",5
"Vibrio_Vibrio_vs_NoVibrio","Human Diseases"," Substance dependence","Up",3
"Vibrio_Vibrio_vs_NoVibrio","Genetic Information Processing"," Translation","Up",2
"Vibrio_Vibrio_vs_NoVibrio","Cellular Processes"," Transport and catabolism","Up",5
